text1,text2,is_same
blindly and obstinately attached to some creed or opinion and intolerant toward others,journal article; published in 2015,0
a military unit or region under the control of a single officer,1946-1980 United States Air Force major command responsible for air defense of the United States,0
a nuclear reaction occurring with absorption of energy,article,1
type genus of the Chalcididae,species of insect (fossil),0
(computer science) the processing time required by a device prior to the execution of a command,"crossing of an obstacle (e.g. river, traffic route, other power line) by an overhead power line",0
the practice of casually mentioning important people in order to impress your listener,Wikimedia template,0
ray with back covered with white or yellow spots; widely distributed in warm seas,species of fish,1
small genus of shrubs and trees of Australia and New Zealand,genus of plants,1
a line printer in which the type is mounted on a rotating drum that contains a full character set for each printing position,impact printer that prints one entire line of text at a time,1
a person employed to establish and promote a favorable relationship with the public,New Zealand public relations person,0
a state in midwestern United States,public university in the state of Kansas,0
a former political party in the United States; active in the 1850s to keep power out of the hands of immigrants and Roman Catholics,American Marxist–Leninist party,0
someone suspected of committing robbery,Wikinews article,1
thoroughbred that won the triple crown in 1978,American Thoroughbred racehorse; winner of US Triple Crown of Thoroughbred Racing in 1978,1
medication with antipyretics to treat a fever,drug that prevents or reduces fever by lowering the body temperature from a raised state,1
any plant of the genus Elephantopus having heads of blue or purple flowers; America,species of plant,1
common European twining vine with tuberous roots and cordate leaves and red berries,article,0
perennial tropical American vine cultivated for its racemes of showy yellow and purple flowers having the corolla keel coiled like a snail shell; sometimes placed in genus Phaseolus,species of plant,1
a most common shark in temperate and tropical coastal waters worldwide; heavy-bodied and dangerous,Wikimedia category,0
an African grass economically important as a cereal grass (yielding white flour of good quality) as well as for forage and hay,geneticist,0
of a region of the United States generally including Ohio; Indiana; Illinois; Iowa; Missouri; Kansas; Nebraska; and sometimes Michigan; Wisconsin; Minnesota,one of the four U.S. geographic regions,0
a region subject to dust storms; especially the central region of United States subject to dust storms in the 1930s,album,0
moving an object without apparent use of physical means,American claiming psychokinetic ability,0
an effort to give scientific support for the truth of the account of Creation given in the Book of Genesis,Science Teacher / Young Earth Creationist,0
a molding covering the joint formed by a wall and the floor,in computing,0
a truncated cone or pyramid; the part that is left when a cone or pyramid is cut by a plane parallel to the base and the apical part is removed,portion of a solid that lies between two parallel planes cutting it,1
goddess of love and beauty and daughter of Zeus in ancient mythology; identified with Roman Venus,subspecies of plant,0
central nervous system stimulant (trade name Ritalin) used in the treatment of narcolepsy in adults and attention deficit disorder in children,episode of South Park,0
having hips; or having hips as specified (usually in combination),sub-genre of hip hop music,0
a warm coat made of duffel; usually has a hood and fastens with toggles,painting by Édouard Manet,0
colorless gas found in natural gas and petroleum; used as a fuel,Pendulum song,0
a statute regulating work on Sundays,county in New Jersey,0
preceding a meal (especially dinner),clinical trial,0
detector that gives a signal when it detects the presence of metal; used to detect the presence of stray bits of metal in food products or to find buried metal,article,0
extinct aquatic arthropods of the Paleozoic,order of arthropods (fossil),1
a family of birds of the order Coraciiformes,genus of birds of the motmots (Momotidae) family,0
the battle that ended the second Macedonian War (197 BC); the Romans defeated Philip V who lost his control of Greece,battle of the Second Macedonian War,1
a method of treating disease using food and exercise and heat to assist the natural healing process,article,0
a United States program of economic aid for the reconstruction of Europe (1948-1952); named after George Marshall,American program to aid Europe,1
a rocking chair that has a high spindle back and a decorative top panel,drawing in the National Gallery of Art (NGA 16560),0
the causal agent resulting in death,American rock band,0
small genus of Asian trees or shrubs,species of plant,0
hypogonadism with anosmia; a congenital sexual disorder that prevents the testicles from maturing at puberty,A form of hypogonadotropic hypogonadism which is also accompanied by a total lack or partial loss in the sense of smell. The condition affects both males and females and causes a failure in puberty and infertility.,1
the act of assuming or taking for granted,the bodily taking up of the Virgin Mary into Heaven at the end of her earthly life,1
the trade name for a drug used to treat upper respiratory congestion; it contains an antihistamine and a bronchodilator and a vasoconstrictor,chemical compound,1
the sepulcher in which Christ's body lay between burial and resurrection,"cemetery in Rochester, New York",0
flesh of large trout of northern lakes,article,0
inflammation of the epiglottis; characterized by fever and a severe sore throat and difficulty in swallowing,article,0
a colonnade surrounding a building or enclosing a court,continuous porch formed by a row of columns surrounding the perimeter of building or a courtyard,1
small spiny tropical trees or shrubs; includes the small genus or subgenus Poinciana,species of South-American tree,0
type genus of the Coraciidae,species of bird,0
a herder of sheep (on an open range); someone who keeps the sheep together in a flock,1958 film by George Marshall,0
a chronic bacterial infection of the endocardium and heart valves; symptoms develop slowly,Human disease,0
fungus causing green smut in rice,article,0
cellulose-producing flagellates,order of plants,1
infectious; having the ability to cause disease,scientific journal article,0
pliers with a joint adjustable to two positions in order to increase the opening of the jaws,pliers whose pivot point or fulcrum can be moved to increase the size range of their jaws,1
type genus of Forficulidae,species of rotifers,0
a poetic rhythm that imitates the rhythm of speech,poetic rhythm designed to imitate the rhythm of natural speech,1
type genus of the family Furnariidae: ovenbirds,genus of birds,1
a state of heightened physiological activity,physiological and psychological state of being awoken,1
European breed of small dog resembling a terrier with dark wiry hair and a tufted muzzle,dog breed,1
the person who directs the making of a film,Indian film director,0
involuntary movements of the eyeballs; its presence or absence is used to diagnose a variety of neurological and visual disorders,journal article; published in Acta Oto-Laryngologica in 2006,0
deliberately not rhythmic,"repetitive, nonrhythmic motor movement or vocalization involving discrete muscle groups",1
term used in some classifications as nearly equivalent to the order Coraciiformes,order of birds,1
small order of basidiomycetous fungi having fleshy often globose fruiting bodies; includes puffballs and earthstars,order of fungi,1
bottom-dwelling fish having scaleless slimy skin and a broad thick head with a wide mouth,family of fishes,0
an island in the Indian Ocean off the southeastern coast of Africa; the 4th largest island in the world,"island nation off the coast of Southeast Africa, in the Indian Ocean",1
a landlocked mountainous republic in southeast central Asia to the north of Afghanistan; formerly an Asian soviet,republic in Central Asia,1
a city in south central Belgium situated on a promontory between the Meuse River and the Sambre River; the site of intense fighting in World War I and World War II,Count of Château-Porcéan and Namur,0
a disease of the leaves of potato plants,species of virus,1
type genus of the family Bucerotidae,genus of hornbills,1
sedative (trade name Doriden) used to treat some sleep disorders,chemical compound,1
crocodile of southeast Asia similar to but smaller than the gavial,freshwater crocodile of the Crocodylidae family with a very thin and elongated snout,1
southeastern Asian palm bearing betel nuts (scarlet or orange single-seeded fruit with a fibrous husk),species of plant,1
a genus of Colubridae,genus of reptiles,1
a molding covering the joint formed by a wall and the floor,wooden or vinyl board covering the lowest part of an interior wall where it meets the floor,1
bluish-grey nuthatch with reddish breast; of northern coniferous forests,"scholarly article published in The Auk, October 1896",0
(Christianity) the doctrine of the ecumenical movement that promotes cooperation and better understanding among different religious denominations: aimed at universal Christian unity,"Christian ecumenical seminary located in Chicago, Illinois, U.S.",0
the last Aztec emperor in Mexico who was overthrown and killed by Hernando Cortes (1466-1520),9th tlatoani of Tenochtitlan and ruler of the Aztec Triple Alliance,1
Brazilian palm of genus Euterpe whose leaf buds are eaten like cabbage when young,species of plant,1
traditional Chinese cuisine; a variety of foods (including several kinds of steamed or fried dumplings) are served successively in small portions,Wikimedia category,0
small steak cut from the thick end of a beef tenderloin,French dish,0
butter seasoned with mashed garlic,compound butter,1
a truncated cone or pyramid; the part that is left when a cone or pyramid is cut by a plane parallel to the base and the apical part is removed,species of cnidarian,0
cap on the opening in the top of a radiator through which a coolant liquid can be added,Radiant body through water or other liquids. Type of heat exchanger,1
the largest city of Ecuador,Ecuadorian association football club,0
rapid handwriting in which letters are set down in full and are cursively connected within words without lifting the writing implement from the paper,miscellaneous at the Cleveland Museum of Art,0
a kitchen appliance for baking waffles; the appliance usually consists of two indented metal pans hinged together so that they create a pattern on the waffle,drawing in the National Gallery of Art (NGA 28061),0
a faint zodiacal constellation in the southern hemisphere; between Sagittarius and Aquarius,Jay Chou album,0
someone who pursues fugitives or criminals for whom a reward is offered,American bounty hunter,0
an order of dicotyledonous plants of the subclass Asteridae; have opposite leaves and an inferior compound ovary,Spanish football player and executive,0
Asiatic shrub cultivated for its rosy red flowers,species of plant,1
type genus of Cycadaceae: genus of widely distributed Old World evergreen tropical trees having pinnate leaves and columnar stems covered with persistent bases of old leaves,species of plant,0
a republic in northern South America on the Caribbean; achieved independence from Spain in 1811; rich in oil,combined military forces of Venezuela,0
small evergreen mat-forming shrub of southern Europe and Asia Minor having stiff stems and terminal clusters of small bell-shaped flowers,species of plant,1
hybrid garden flower derived from Chrysanthemum maximum and Chrysanthemum lacustre having large white flower heads resembling oxeye daisies; often placed in the genus Chrysanthemum,"Santa Rosa, Calif. :Burbank's Experiment Farms,1901. | U.S. Department of Agriculture, National Agricultu",0
not buttoned,small fastener,1
the centennial rites and games of ancient Rome that marked the commencement of a new generation (100 years representing the longest life in a generation); observances may have begun as early as the 5th century BC and lasted well into the Christian era,Wikimedia category,0
heathlike shrub of southwestern Australia grown for its sharply scented foliage and pink flowers followed by pentagonal fruit,species of plant,1
capital and largest city of Jamaica,"university in Kingston upon Thames, London",0
land plant growing in surroundings having an average supply of water; compare xerophyte and hydrophyte,terrestrial plants adapted to neither very dry nor very wet environments,1
diving apparatus for underwater work; has an open bottom and is supplied with compressed air,a series in the National Archives and Records Administration's holdings,0
an agaric with a large cap with brown scales and a thick stalk,common name for three closely related species of mushroom,1
instrument of execution that consists of a weighted blade between two vertical poles; used for beheading people,apparatus designed for carrying out executions by beheading,1
a genus of herbs and small shrubs with white or purple flowers; grows in tropical or subtropical regions,genus of plants,1
Australian bird that resembles a pheasant; the courting male displays long tail feathers in a lyre shape,river in Australia,0
the compass point midway between south and southeast,eastern portion of the Southern United States,0
American fern whose clustered sporangia resemble a snake's rattle,Wikimedia category,0
a floor covering,punk band from Indonesia,0
a measuring instrument for measuring high pressures,device installed to measure pressure,1
a sleeveless cape that is lined or trimmed with fur,drawing in the National Gallery of Art (NGA 13498),0
the opinion you hold with respect to political questions,journal,1
a dance performed on tiptoe,tap dance,1
the first form of penicillin that was isolated in Great Britain,chemical compound,1
evergreen holly of eastern North America with oblong leathery leaves and small black berries,Wikimedia category,0
woody vine of southeastern United States resembling the common moonseed but having red fruits,species of plant,1
a cast taken from the face of a dead person,1998 film,0
a family of lichens,genus of fungi,0
improved garden variety of black nightshade having small edible orange or black berries,species of plant,1
(music) a knob on an organ that is pulled to change the sound quality from the organ pipes,animation technique to make a physically manipulated object appear to move on its own,1
a militant Islamic fundamentalist political movement that opposes peace with Israel and uses terrorism as a weapon; seeks to create an Islamic state in place of Israel; is opposed to the PLO and has become a leading perpetrator of terrorist activity in Israel; pioneered suicide bombing,"Czech actor, guitarist, presenter and singer",0
an ancient Greek city located in the western part of what is now modern Turkey; as the capital of Lydia it was the cultural center of Asia Minor; destroyed by Tamerlane in 1402,Italian architect (1624-1699),0
small family of usually scandent ferns,Wikimedia template,0
"strip of honors, possessions, or attributes",aquatint by Francisco de Goya from the series Los Caprichos,1
a period of time when something (as a machine or factory) is functioning and available for use,article,0
capital and largest city of the Ukraine; a major manufacturing and transportation center,Ukrainian newspaper,0
surgical incision into the uterus (as in cesarean section),"incision in the uterus, and is performed during a caesarean section",1
the power or capacity of an organism to tolerate unfavorable environmental conditions,"hypertension occurring during pregnancy characterized by large amounts of protein in the urine (proteinuria) and edema, usually by the last trimester of pregnancy.",0
a measuring instrument for measuring the light sensitivity of film over a range of exposures,"scientific study of light-sensitive materials, especially photographic film",1
law intended to promote free competition in the market place by outlawing monopolies,journal,0
a large faint constellation in the southern hemisphere containing most of the Small Magellanic Cloud,star in the constellation Tucana,0
a compiler for programs written in Pascal,Wikimedia category,0
a writer of poems (the term is usually reserved for writers of good poetry),Russian poet,0
condition in which a person assumes the identity and permanently acts the part of the gender opposite to his or her biological sex,transsexual who are exclusively attracted to this transsexual's assigned sex or gender.,0
a suborder of Sauropterygia,family of Mesozoic aquatic reptiles,0
any of numerous often hairy plants of the genus Hieracium having yellow or orange flowers that resemble the dandelion,article,0
poisonous (but rarely fatal) woodland fungus having a scarlet cap with white warts and white gills,species of fungus,1
an office that involves minimal duties,sinecure office of state in the UK,0
transport by dematerializing at one point and assembling at another,album by Chad R. Matheny,0
a military unit or region under the control of a single officer,United States Armed Forces high level command formation,0
a kind of food poisoning caused by eating foods contaminated with Salmonella typhimurium,infection caused by Salmonella bacteria,1
large American pelican; white with black wing feathers,Native American leader,0
"standard time in the 6th time zone west of Greenwich, reckoned at the 90th meridian; used in the central United States",time zone observing UTC−05:00 during standard time and UTC−04:00 during daylight saving time,0
an arm of the Arabian Sea connecting it with the Persian Gulf,article,0
orchid of central and northern South America having 1- to 3-blossomed racemes of large showy rose-colored flowers; sometimes placed in genus Pogonia,form of plant,0
deciduous monoecious trees of Europe and Asia and America; sometimes placed in subfamily or family Carpinaceae,later homonym,0
bluish and bronze wrasse; found from Florida keys to Brazil,species of fish,1
a traditional theme or motif or literary convention,sculpture by Eduardo Chillida,0
pain in a muscle or group of muscles,muscle pain,1
any flowering vine of the genus Wisteria,"Great Elm, Mendip, Somerset, BA11",0
"strike (the ball) in golf, tennis, or hockey obliquely downward so as to give a backspin or elevation to the shot",Undercut support during casting,1
having four sides,regular quadrilateral,0
a republic in northern South America on the Caribbean; achieved independence from Spain in 1811; rich in oil,reestablished Venezuelan Republic declared by Simón Bolívar,0
a window shade that rolls up out of the way,type of window covering,1
one of the states that formerly made up the former Union of Soviet Socialist Republics (1922-1991),one of fifteen constituent republics of the Soviet Union (USSR) from 1922 to 1991,0
a long hooded cloak woven of wool in one piece; worn by Arabs and Moors,print in the National Gallery of Art (NGA 4773),0
make more striking or animated,manga,1
the capital of Cameroon,airport,0
(Hinduism) a sacred epic Sanskrit poem of India dealing in many episodes with the struggle between two rival families,one of the two major Sanskrit epics of ancient India,1
having sagging folds of flesh beneath the chin or lower jaw,human settlement in Afghanistan,0
discharge of pus,Wikimedia category,0
a rough fabric of linen warp and wool or cotton woof,drawing in the National Gallery of Art (NGA 12963),0
a bar for mixing drinks that has a sink with running water,publication,0
a chemical that is sprayed on plants and causes their leaves to fall off,chemical sprayed or dusted on plants to cause its leaves to fall off,1
the act of supporting yourself by your hands alone in an upside down position,"German business man, sportsman and actor",0
the atmospheric layer between the troposphere and the mesosphere,article,0
a disease of cattle; characterized by hematuria,watercourse in Canada,0
a body of water cut off from a larger body by a reef of sand or coral,part of Venetian Lagoon in front of Piazzetta San Marco,0
(astronomy) any perturbation of the mean motion or orbit of a planet or satellite (especially a perturbation of the earth's moon),article,0
the removal of contaminants,removal of a substance,1
(psychoanalysis) the governing principle of the ego; the principle that as a child grows it becomes aware of the real environment and the need to accommodate to it,"in Freudian psychoanalysis, the ability of the mind to assess the reality of the external world, and to act upon it accordingly, as opposed to acting on the pleasure principle",1
a genus of Scolopacidae,species of wading bird,1
any of several herbs of the genus Dipsacus native to the Old World having flower heads surrounded by spiny bracts,genus of plants,1
genus of chiefly American plants parasitic on conifers,species of plant,0
English breed of small short-legged terrier with a straight wiry red or grey or black-and-tan coat and erect ears,Wikimedia category,0
the capital and largest city of Burundi,German diplomatic mission,0
herb of Colombia to Peru having pale purple flowers,painting by Laura Coombs Hills,0
a genus of Pleuronectidae,species of sponge,0
statements affirming or denying certain matters of fact that you are prepared to prove,article,0
an area used exclusively for storing petroleum in large tanks,article,0
a large sum of money,print by Albrecht Dürer,1
in some classifications considered a superorder comprising the Cypriniformes and the Siluriformes,article,0
evergreen rambling yellow-flowered shrub of western China,species of plant,1
any of numerous small insects whose larvae feed on fruits,genus of insects,0
scaleless domestic carp,article,1
an entertainment that provokes pleased interest and distracts you from worries and vexations,2017 film by Sofia Coppola,0
a morel with a fertile portion that has a relatively smooth surface; the stalk is fragile,species of fungus,1
a scale formerly used to describe the magnitude of an earthquake; an earthquake detected only by seismographs is a I and an earthquake that destroys all buildings is a XII,earthquake intensity magnitude,1
"viral disease in solanaceous plants (tomatoes, potatoes, tobacco) resulting in mottling and often shriveling of the leaves","image made from an assemblage of small pieces of colored glass, stone, or other materials",1
carnivorous plant of coastal plains of the Carolinas having sensitive hinged marginally bristled leaf blades that close and entrap insects,carnivorous plant that captures prey by quickly closing its leaves into a jaw-like trap,1
type genus of the Priacanthidae,species of fish,0
a piece of furniture that provides a place to sleep,small lodging establishment,0
type genus of the Piperaceae: large genus of chiefly climbing tropical shrubs,aircraft manufacturer in the United States,0
a yard adjoining a barn,"enclosed or open area of land, a yard, adjoined to a barn",1
a sticky low herb with small reddish-purple flowers; widespread in the northern hemisphere,species of plant,1
an Italian dessert consisting of layers of sponge cake soaked with coffee and brandy or liqueur layered with mascarpone cheese and topped with grated chocolate,2016 film by Fabio De Luigi,0
each member of a pair of homologous chromosomes separates independently of the members of other pairs so the results are random,law of segregation,1
moth whose larvae are fall armyworms,species of insect,1
(Norse mythology) giant who lives in the roots of Yggdrasil and guards the well of wisdom,"Norwegian journalist, politician and writer",0
plant of Europe and Asia having purplish-red flowers and hairy stems and leaves; introduced into North America,article,0
a woody vine of eastern North America having large oval leaves and small white flowers and purple to blue-black fruits,species of plant,1
common North American green or brownish frog having white-edged dark oval spots,cell line,0
having four sides,convex quadrilateral where the extensions of all four sides are tangent to a circle outside it,0
European viola with an unusually long corolla spur,species of plant,1
genus of tropical herbs or subshrubs having sensitive leaves and suddenly dehiscing pods; some species placed in genus Cassia,genus of plants,1
optical glass of low dispersion and low refractive index,early type of window glass,1
a port in southern Sweden,"sports club in Malmö, Sweden",0
stemless plant having narrow rigid leaves often cultivated as a houseplant,Wikimedia category,0
South African vine having a massive rootstock covered with deeply fissured bark,species of plant,1
an extremist militant group in Pakistan occupied Kashmir that seeks an Islamic government and that has had close links and fought with the Taliban in Afghanistan,species of bird (fossil),0
the position on a baseball team of the player who is stationed behind home plate and who catches the balls that the pitcher throws,sportsperson taking part in professional wrestling,0
national flag of the United Kingdom,aircraft color scheme applied by British Airways,0
an omen of death or destruction,episode of Stargate SG-1 (S7 E16),0
tranquilizer (trade name Dalmane) used to treat insomnia,benzodiazepine derivative medication,1
Old World fragrant stoloniferous perennial having small white flowers and narrow leaves used as flavoring and in sachets; widely cultivated as a ground cover; in some classifications placed in genus Asperula,"civil town in Oneida County, Wisconsin",0
the tiny fossil cone-shaped tooth of a primitive vertebrate of order Conodonta,class of fishes (fossil),1
a government appointee who investigates complaints by private persons against the government,European ombudsman,0
the director in charge of the artistic features of a theatrical production (costumes and scenery and lighting),art director,0
adjourn by royal prerogative; without dissolving the legislative body,the legislature of Singapore,0
a Chadic language spoken in Chad,Wikimedia category,0
a freshwater pond with fish,"body of standing water, man-made and non perennial, used for pisciculture",1
human excreta used as fertilizer,exhibition,0
the tenth month of the Islamic calendar,17th day of Shawwal in the Islamic calendar,0
a coarse loosely woven cotton gauze; originally used to wrap cheeses,loosely woven carded cotton cloth used primarily in cooking and cheesemaking,1
a bacterium causing ratbite fever,species of bacterium,1
type genus of the family Laminariaceae: perennial brown kelps,genus of algae,1
aquatic or marsh-growing fern allies; known to have existed since the Cenozoic; sometimes included in Lycopodiales,order of plants,1
tall European annual with downy grey-green foliage and dense heads of small white flowers followed by hairy pods; naturalized in North America; sometimes a troublesome weed,species of plant,1
the act of supporting yourself by your hands alone in an upside down position,Wikimedia list article,0
fibrillation of the muscles of the atria of the heart,abnormal heart rhythm characterized by rapid and irregular beating,1
a telephonic intercommunication system linking different rooms in a building or ship etc,"communications system; a stand-alone voice communications system for use within a building or small collection of buildings, functioning independently of the public telephone network",1
a primitive method of determining a person's guilt or innocence by subjecting the accused person to dangerous or painful tests believed to be under divine control; escape was usually taken as a sign of innocence,article,0
a smoker of cigarettes,practice of burning tobacco and inhaling the resulting smoke,1
large harmless snake of southeastern United States; often on farms,species of reptile,1
congenital malformation of the skull in which the main axis of the skull is oblique,distortion of the skull,1
an organ stop resulting in a soft muted sound,novel by British author David Lodge,0
of or relating to a system to destroy satellites in orbit,Kinetic energy device designed to destroy defunct satellites,1
having four sides,quadrilateral in which all sides have the same length,0
a pasture grass of western North America,"Washington, D.C. :U.S. Dept. of Agriculture,[1942?] | U.S. Department of Agriculture, National Agricultural Library View Book",0
(biology) the existence of two or more forms of individuals within the same animal species (independent of sex differences),single nucleotide position in genomic DNA at which different sequence alternatives exist,1
exudation from trees of the Prunus genus; resembles gum arabic,gum of cherry-trees,1
in a vociferous manner,species of bird,1
fern of Peru and Bolivia,species of plant,1
a stack of hay,astronomical observatory,0
any of several plants of the genus Digitalis,poisonous plant,0
consisting of or made of cedar,watercourse in Canada,1
a large faint constellation in the southern hemisphere containing most of the Small Magellanic Cloud,constellation in the southern celestial hemisphere,1
an inflammation of the mucous membrane lining the nose (usually associated with nasal discharge),irritation and inflammation of the mucous membrane inside the nose,1
take by attacking with scaling ladders,American silent film and stage actress,0
unsized paper treated with litmus for use as an acid-base indicator,use of litmus paper to test whether a solution is acidic or basic,1
a political system governed by the wealthy people,society or system ruled and dominated by the small minority of the top wealthiest citizens,1
type genus of the Zapodidae,species of mammal,0
large black-and-white vulture of South America and Central America; have colorful wattles and wartlike protuberances on head and neck,large bird found in Central and South America,1
(ecology) the status of an organism within its environment and community (affecting its survival as a species),article,0
a nuclear reactor that uses water as a coolant and moderator; the water boils in the reactor core and the steam produced can drive a steam turbine,"commune in Pas-de-Calais, France",0
enlargement of the right ventricle of the heart due to disease of the lungs or of the pulmonary blood vessels,congestive heart failure that involves a failure of the right side of the heart and is characterized by an enlargement of the right ventricle of the heart as a response to increased resistance or high blood pressure in the lungs,1
a main in a sewage system,publication,0
shrubby or herbaceous low-growing evergreen perennials,place where arms and ammunition are made and stored,0
an armored vehicle with the chassis of a tank (but no turret) and a large gun; used as an antitank weapon and to support infantry,1941 German assault gun,0
a political or theological orientation advocating the preservation of the best in society and opposing radical changes,article,0
lemony leaves used for a tisane or in soups or fruit punches,"lemon balm, a species of plant",1
a Norwegian archipelago in the Arctic Ocean,two parts of Norway under separate jurisdictions,0
an officer in command of a military unit,"award, rank of the Order of the British Empire",0
ditch dug as a fortification and usually filled with water,electoral ward of Manchester City Council,0
genus of Old World herbs resembling groundsel: leopard plants,species of plant,0
an account used temporarily to carry doubtful receipts and disbursements or discrepancies pending their analysis and permanent classification,A collective subledger account for postings to customers or suppliers whom you deal with once or rarely,0
fourth Thursday in November in the United States; second Monday in October in Canada; commemorates a feast held in 1621 by the Pilgrims and the Wampanoag,episode of Family Guy,0
a kiln for drying hops,Flemish Baroque painter,0
of illegal marriage to a second person while legally married to a first,illegal second or further marriage,1
go against,species of insect,1
Russian composer of operas and orchestral works (1839-1881),opera by Modest Mussorgsky,0
river in eastern Asia; rises in North Korea and flows southwest to Korea Bay (forming part of the border between North Korea and China),river on the border between North Korea and China,1
someone who plays the harpsichord,American musician,0
take by attacking with scaling ladders,physical representation of an object,1
a genus of Trochilidae,small hummingbird living in North America,0
fragrant dark green leaves used to flavor May wine,species of plant,1
a selfish actor who upstages the other actors,1926 film by Monta Bell,0
an extremist militant group in Pakistan occupied Kashmir that seeks an Islamic government and that has had close links and fought with the Taliban in Afghanistan,"Israeli musicologist: researcher and professor at JAMD, HUJI & TAU",0
photographic film sensitive to light of all colors (including red),type of black-and-white photographic film,0
