text1,text2,is_same
a bitter or critical manner of speaking,"stock character; an assertive, opinionated, loud, and ""sassy"" African-American woman with a sharp tongue",1
a stone in a castle in Ireland that is said to impart skill in flattery to anyone who kisses it,1912 film by Laurence Trimble,0
small brown moth whose larvae bore into flowers and bolls of cotton,"Cairo,Government Press,1916. | University of California Libraries (archive.org) View Book",1
"travel from place to place, as for work",Person; male; Itinerate musician; British; fl. c. 1804,1
widespread weed with pale purple-blue flowers,orthographical variant,0
an acid that is a partial anhydride of three molecules of phosphoric acid; known chiefly in the form of its salts and esters,chemical compound,1
grass trees; sometimes placed in family Xanthorrhoeaceae,species of insect,1
a demanding woman who destroys men's confidence,1995 studio album by AC/DC,1
grass native to West Indies but common in southern United States having tufted wiry stems often infested with a dark fungus,venue where the sport of tennis is played. It is a firm rectangular surface with a low net stretched across the center. The same surface can be used to play both doubles and singles matches,0
small plant with leaves in a basal cluster and tiny greenish flowers in slender racemes; northwestern North America to California and Colorado,species of plant,1
a spleenwort of western Europe,Wikimedia category,0
a short close-fitting coat,formal coatee worn with Scottish highland dress for black tie occasions,0
widely distributed in warm clear shallow streams,album by Hog Molly,0
a python having the color of amethyst,species of reptile,1
widely distributed in warm clear shallow streams,album by Hog Molly,0
an armchair with an adjustable back,drawing in the National Gallery of Art (NGA 16655),0
a discomycete that is 3-8 cm high with an orange to yellow fertile portion and white or pinkish stalks often half in and half out of the water,species of fungus,1
"reading materials (documents, written information) that you must read and deal with but that you think are extremely boring",mountain in Australia,1
an admission that you have failed to do or be something you know you should do or be,article,1
crabmeat usually canned; from Japan,"Springfield, Ohio :American Rose and Plant Company,[1930] | U.S. Department of Agriculture, National Agricultural Library",1
sea bream of warm Atlantic waters,Wikimedia category,0
abnormally low oxygen content in arterial blood,medical condition,1
a supply of seeds (or tubers) reserved for planting,"Seattle, Wash. :Chas. H. Lilly Co.,1918. | U.S. Department of Agriculture, National Agricultural Library",1
type genus of the Helotiaceae,species of fungus,0
the three pure ones; the three chief gods of Taoism,"the three highest gods in the Taoist pantheon, regarded as pure manifestation of the Tao and the origin of all sentient beings",1
bushy perennial of South Africa with white or violet flowers; in its native region often clothes entire valley sides in a sheet of color,species of plant,1
small shrubby tree of western North America (Alaska to Oregon),Wikimedia category,0
small yew having attractive foliage and partially weeping branches cultivated as an ornamental; mountains of southern Chile,species of plant,1
American herb of genus Blephilia with more or less hairy leaves and clusters of purplish or bluish flowers,species of plant,1
of humankind as a species,"French-Swiss visual artist, b. 1976",0
a grass of the genus Cenchrus,Grass species,1
a cartel of companies or nations formed to control the production and distribution of oil,international organization of petroleum-exporting countries,1
a reading lamp with a flexible neck; used on a desk,drawing in the National Gallery of Art (NGA 24654),1
a long-acting crystalline barbiturate (trade name Mebaral) used as a sedative and as an anticonvulsant in the treatment of epilepsy,chemical compound,1
aquatic herb with yellowish flowers; central and western United States,species of plant,1
air defense by the use aircraft or missiles or artillery or electronic countermeasures,a series in the National Archives and Records Administration's holdings,1
a cut of meat from the upper part of a front leg,cut of beef,1
large red apple used primarily for baking,apple cultivar,1
flat stitches worked so closely as to resemble satin,flat embroidery stitch,1
a person who is unusually selfish,hexagram,1
a cape on the Strait of Magellan in southern Chile; the most southern point on the mainland of South America,cape,1
cloth covered with powdered emery,painting by Jeffrey Spalding,0
the single-handed rod casting of a relatively heavy (artificial) bait,tool,1
"modify one's opinion, make it less strong",Wikinews article,1
socialism achieved by voluntary sacrifice,"Polish writer, journalist, traveler, publicist and poet, Polish-French translator, supporter of national romanticism and utopian socialism",0
an upright pole with pegs or hooks on which to hang clothing,type of  overcoat,1
social control achieved as a manifestation of self-will or general consent,Provisions which allow for copyrighted works to be used without a license from the copyright owner,1
the Lateran Council in 1179 that condemned the heresies of the Albigenses and the Waldenses,synod,1
clusters of several short stems each having 2 broad leaves and 2-4 drooping brownish to greenish flowers with pouches mottled with purple; British Columbia to central California and northern Colorado,"[Leavenworth, WA] :U.S. Department of Agriculture, Forest Service, Wenatchee National Forest,[1994] | U.S. Department of Agriculture, National Agricultural Library View Book",0
characterized by good organization and control,approach to medical practice intended to optimize decision-making by emphasizing the use of evidence from well-designed and well-conducted research,1
any of various fabrics (linen or cotton) used to make towels,"absorbent, woven textile with a looped pile on one or both sides",0
any alga of the division Chrysophyta with its chlorophyll masked by yellow pigment,class of algae,1
tropical American tree,species of plant,1
a woman who is a mediator,female given name,1
the worship of fish,Christan symbol,1
a miner who extracts minerals from a placer by washing or dredging,technique of mining stream bed deposits for minerals,1
an intelligence agency outside the United States,Wikimedia list article,1
eastern Asian shrub cultivated especially for its persistent foliage,species of plant,1
not suitable to be exchanged,exhibition,1
European trailing bramble with red berrylike fruits,Wikimedia category,0
long-handled fork for cooking or toasting frankfurters or bread etc. (especially over an open fire),drawing in the National Gallery of Art (NGA 22397),1
coming after the climax especially of a dramatic or narrative plot,point of highest tension in narrative,1
dye by hand,1962 a prose book by W. H. Auden,1
one of the largest stingrays; found from Cape Cod to Cape Hatteras,species of fish,1
having or using only one filament,simplified notation for representing a three-phase power system,1
a sock worn for athletic events,item of clothing for the feet,1
beef stewed in beer seasoned with garlic and served with boiled potatoes,traditional sweet-sour beef and onion stew made with beer,1
daiquiri with crushed strawberries,video game,1
of Australia,species of plant,1
a girl with an attractive bust who wears tight sweaters,1950s fashion,1
fern of tropical America: from southern United States to West Indies and Mexico to Brazil,species of plant,1
of Florida wetlands,1889 | American Museum of Natural History Library View Book (External),0
dry to sweet amber wine from the Jerez region of southern Spain or similar wines produced elsewhere; usually drunk as an aperitif,badminton player,0
nocturnal lemur with long bony fingers and rodent-like incisor teeth closely related to the lemurs,species of mammal,1
Asiatic shrub cultivated for its rosy red flowers,Wikimedia category,0
a wife who is left alone much of the time because her husband is playing golf,film,1
tripletail found from Cape Cod to northern South America,species of fish,1
any personal belief about how to live or how to deal with a situation,journal,1
stout hairy annual of eastern North America with sweet yellow fruits,Wikimedia category,0
shrub honeysuckle with drooping spikes of purplish flowers,Wikimedia category,0
very large deep-water snake mackerel,journal article; published in African Zoology in 2017,0
small brown moth whose larvae bore into flowers and bolls of cotton,"Cairo,Government Press,1917. | University of California Libraries (archive.org) View Book",0
derived from the Iowa crab and cultivated for its large double pink blossoms,painting by Shen Zhou,0
western subspecies of northern oriole,"scholarly article published in The Auk, January 1890",0
streamlined cigar-shaped jack; good game fish,species of fish,1
moth having dull forewings and red-marked hind wings,Wikimedia category,0
not premeditated,United States legal policy,1
not encumbered with a physical burden or load,1983 film by Marcel Schüpbach,0
a substance producing irritation,"Toxicology: Principles and Practice. Reeves AL, Sperling F, eds., New York: Wiley, 1981 Jan; 1:48-92",0
a heavy plow with a single wide blade; used chiefly in cotton fields,island in the United States of America,0
has a moving magnet and astatic coils arranged to cancel the effect of the Earth's magnetic field,instrument to measure electric current,1
a writer of folktales,"consists of legends, music, oral history, proverbs, jokes, popular beliefs, fairy tales, etc.",0
deliberately not rhythmic,"repetitive, nonrhythmic motor movement or vocalization involving discrete muscle groups",1
a time period of a week or more,days of the week from Monday to Saturday,1
a weight added to the scale to reach a required weight,article,1
a woody pore fungus with a dark brown to red brown cap and spore surface and small pores,species of fungus,1
a solo tap dance emphasizing sharp taps,1895 film by William Kennedy Dickson,0
having a pleasant sound,pleasantness to the ear,1
European trailing bramble with red berrylike fruits,Wikimedia category,0
any of a small family of lizards widely distributed in warm areas; all are harmless and useful as destroyers of e.g. slugs and insects,group of anguid lizards,0
grains of wheat that have been crushed into small pieces,cereal grain,1
a lotion consisting of a liquid preparation containing calamine; used to treat itching or mild skin irritations,medicinal lotion,1
shaped in the form of a stirrup,light frame or ring that holds the foot of a rider,1
roundabout or ambiguous,"expression, statement (or sometimes behavior) which is disrespectful or scornful",1
bacteria that cause abortion in sheep,"1970. | University of Florida, George A. Smathers Libraries View Book",1
an unroofed deck,painting by Adolph Gottlieb,0
a variety of water plantain,species of plant,1
the position of precentor,"Anglican cathedral, and the seat of the Bishop of Exeter in England, UK",1
a unit of resistance equal to a billionth of an ohm,unit of electrical resistance in the emu-cgs,1
any of several plants of the genus Brodiaea having basal grasslike leaves and globose flower heads on leafless stems resembling those of genus Allium,species of plant,0
plant growing from a tuber,structures in some plant species used as storage organs for nutrients,1
wash by machine,"(Wash.,1920) | Library of Congress",0
Paleozoic simple dichotomously branched plants of Europe and eastern Canada including the oldest known vascular land plants,family of plants,0
a positional system of numeration that uses hexadecimal digits and a radix of sixteen,numerical system on base 16,1
cloth covered with powdered emery,painting by Jeffrey Spalding,0
a boat used by harbor police,watercraft used in service by police force,1
similar to Shasta salamander; lives in cliff crevices and taluses,species of amphibian,1
a short close-fitting coat,type of tight fitting uniform coat or jacket with short tails,1
European viola with an unusually long corolla spur,species of plant,1
gear with the thread of a worm,journal article; published in Advanced Robotics in 2014,0
evergreen shrub or tree of South Africa,species of plant,1
close relative to the desert tortoise; may be reclassified as a member of genus Xerobates,"Lubbock, TX :Museum of Texas Tech University,2000. | Museum of Texas Tech University",0
a lack of knowledge or recognition,article,1
a solution of ammonium carbonate in ammonia water and alcohol,chemical compound,1
tropical African and Asiatic trees and shrubs having one-seeded fruit,species of plant,0
the office of prior,head of the Knights Hospitaller in Portugal,1
genus of deciduous and evergreen east Asian trees and shrubs widely cultivated as ornamentals for their white flowers and red fruits; in some classifications includes genus Heteromeles,species of plant,0
a flat round cake of sweetened pastry filled with dried fruit,"small, round cake filled with currants",1
protected with battlements or parapets with indentations or embrasures for shooting through,"Bath and North East Somerset, Somerset, BA1",0
a wheel that has a tire and rim and hubcap; used to propel the car,Composite wheels of North American railway carriages,0
a feeling of lack of concern,1986 film by Alexander Sokurov,1
cloth covered with powdered emery,painting by Jeffrey Spalding,0
New Zealand forest tree,article,0
rare California cypress taller than but closely related to gowen cypress and sometimes considered the same species,subspecies of plant,0
aromatic perennial herb of United States,species of plant,1
a member of a work gang who supervises the other workers,manager in a business or event,1
in the manner of Ernest Hemingway,American author and journalist,1
a position in the manual of arms; the rifle is held vertically on the right side with the butt on the ground; often used as a command,painting by Jean Restout,1
sweetly scented African fern with narrow bipinnate fronds,article,0
the executive under President Reagan,collection in the National Archives and Records Administration's holdings,1
"United States geneticist who published the complete base sequences for all the genes of a free-living organism, the influenza bacterium; later led team that developed a first draft of the entire human genome (born in 1946)","Ventners, Lawrence (<em>c.</em>1880–1947), bookmaker",1
an extinct genus of Hominoidea,species of mammal (fossil),0
a messenger who carries military dispatches (usually on a motorcycle),Scout and dispatch rider,0
erect perennial of southeastern United States having large heads of usually blue flowers,species of plant,1
annual with broadly ovate leaves and slender drooping spikes of crimson flowers; southeastern Asia and Australia; naturalized in North America,"Tirley, Tewkesbury, Gloucestershire, GL19",0
the Tibeto-Burman language spoken in northern Burma and Yunnan,Wikimedia template,0
Eurasia; northern North America to Virginia,Wikimedia category,0
a compliment that I heard about you that I offer to trade for a compliment you have heard about me,album by Show-Ya,1
infestation of body skin with lice,"A lice infestation that is a cutaneous condition caused by parasitic infestation of body lice Pediculus humanus corporis, which feed on the human blood. Body lice can spread epidemic typhus, trench fever, and louse-borne relapsing fever.",1
clusters of several short stems each having 2 broad leaves and 2-4 drooping brownish to greenish flowers with pouches mottled with purple; British Columbia to central California and northern Colorado,"[Leavenworth, WA] :U.S. Department of Agriculture, Forest Service, Wenatchee National Forest,[1994] | U.S. Department of Agriculture, National Agricultural Library View Book",0
a steam-powered automobile,company,0
the system of weights and measures based on the foot and pound and second and pint that dates back to colonial America but differs in some respects from the British Imperial System; today in the United States this system exists side by side with the SI system,system of units of measurement commonly used in the United States,1
an edible agaric that fruits in great clusters (especially in sandy soil under cottonwood trees),species of fungus,1
genus of deciduous and evergreen east Asian trees and shrubs widely cultivated as ornamentals for their white flowers and red fruits; in some classifications includes genus Heteromeles,species of plant,0
small shrubby tree of western North America (Alaska to Oregon),Wikimedia category,0
an apparatus for the electrical transmission of pictures,scientific instrument to measure electric charge or electrical potential difference,1
a small open pie filled with sliced apples and sugar,apple that is used primarily for cooking rather than eating raw,1
herbs and subshrubs: African daisy,species of plant,0
a superstructure on the upper deck of a ship,enclosed space generally on a ship,1
methylated spirit used in the practice of medicine (especially for cleansing the skin before injections or before surgery),television series,1
Old World leek with a spherical bulb,species of plant,1
tripletail found from Cape Cod to northern South America,Wikimedia category,0
tongue worms,Wikimedia category,0
coextensive with the family Cactaceae: cactuses,order of plants,1
western subspecies of northern oriole,"scholarly article published in The Auk, January 1890",0
an armchair with an adjustable back,drawing in the National Gallery of Art (NGA 16655),0
a small colored light used for decoration (especially at Christmas),Concert Tour and Two Live Albums by All About Eve,1
small shrubby tree of western North America (Alaska to Oregon),Wikimedia category,0
a platform at the head of a foremast,military rank,1
relating to or characteristic of the imaginary country of Laputa or its people,fictional island,1
a swing downward of a golf club,fluctuation in the degree of utilization of the production potential of an economy,1
a perennial that is valuable as sheep forage in the United States,genus of plants,1
subshrub having short leafy stems and numerous small flower heads with nearly round yellow-orange rays; Arizona south to Mexico and east to Kansas,painting by Mary Vaux Walcott,0
a messenger who carries military dispatches (usually on a motorcycle),Scout and dispatch rider,0
excess carotene in the blood stream; can cause the skin to turn a pale yellow or red color,Human disease,1
widely distributed in warm clear shallow streams,album by Hog Molly,0
of Florida wetlands,1889 | American Museum of Natural History Library View Book (External),0
a common name for a variety of Sarcosomataceae,species of fungus,1
shrub honeysuckle with drooping spikes of purplish flowers,Wikimedia category,0
one guilty of malfeasance,article,1
a fungus of the family Helvellaceae,article,1
perennial star grass of North America,species of plant,1
woody yellow-flowered perennial of southeastern United States,species of plant,1
a messenger who carries military dispatches (usually on a motorcycle),Scout and dispatch rider,0
European viola with an unusually long corolla spur,Wikimedia category,0
(psychoanalysis) anxiety resulting from real or imagined threats to your sexual functions; originally applied only to men but can in principle apply to women,fear of emasculation in both the literal and metaphorical sense,1
lien to secure payment for work and materials in erecting or repairing a building or other structure,legal concept,1
annual of the western United States having large coiled flower spikes; a threatened species,species of plant,1
evergreen shrub or small tree found on Catalina Island (California),species of plant,0
tongue worms,Wikimedia category,0
rare California cypress taller than but closely related to gowen cypress and sometimes considered the same species,subspecies of plant,0
inclined to or marked by tedious moralization,1914 silent short film,1
duty of a child to its parents,Confucian virtue,1
having caterpillar treads or tracks on the wheels,sculpture by Claes Oldenburg,0
asphodel with leafy stem and fragrant yellow flowers,Wikimedia category,0
coarse herbs with whitish discoid flower heads and silky pappus,article,1
cause to adopt an opinion or course of action,print in the National Gallery of Art (NGA 31076),1
"step backwards, in boxing",Wikinews article,1
wild dog of northern South America,article,0
a fungus with a white convex cap and arcuate white gills and a stalk that tapers toward the base,species of fungus,1
the restoration of someone to a useful place in society,journal,1
a line of people in single file performing the conga dance,international novelty dance,1
type genus of the Pteroclididae,species of bird,0
annual barley native to western North America and widespread in southern United States and tropical America,species of plant,1
strips of citrus peel cooked in a sugar syrup,outer covering of a fruit,1
a bronze containing up to 30% nickel,a series in the National Archives and Records Administration's holdings,1
very small Argentine armadillo with pale silky hair and pink plates on head and neck,article,0
the portion of a company's profit allocated to each outstanding share of common stock,EPS,1
cypress of river valleys of Mexican highlands,Wikimedia category,0
gear with the thread of a worm,journal article; published in Advanced Robotics in 2014,0
moth having dull forewings and red-marked hind wings,Wikimedia category,0
scale insects,family of insects,1
a cyma in which the upper section is concave and the lower section is convex,class of decorative elements in the ornamentation,1
relating to or characterized by double refraction,"A lysosome-related organelle contained within the intestinal cells of the nematode C. elegans. Gut granules are acidified, birefringent, autofluorescent, and contain the vacuolar H+-ATPase. They also serve as sites of cellular zinc storage.",0
widely distributed in warm clear shallow streams,album by Hog Molly,0
the act of drinking (especially an alcoholic drink),government agency,1
thorny Eurasian shrub with dry woody winged fruit,Wikimedia category,0
a stout cotton fabric with nap on only one side,soft woven fabric with a lightly napped surface,1
having widely spreading paired branches,journal article; published in Advanced Robotics in 2001,0
having widely spreading paired branches,journal article; published in Advanced Robotics in 2001,0
not debased,the supposed miraculous preservation  of the corpses of some Christian saints,1
large Chinese deer surviving only in domesticated herds,Wikimedia category,0
a soup of eastern India that is flavored with curry; prepared with a meat or chicken base,Curry soup based on an Indian recipe of the British Raj times,1
medium-sized swamp gum of New South Wales and Victoria,species of plant,1
having fan-shaped leaves,genus of plants,1
