text1,text2,is_same
type genus of the Caryocaraceae; South American trees yielding strong fine-grained wood and edible nuts,genus of plants,1
so rude and abusive as to be unsuitable for parliament,"body of rules, ethics and customs governing meetings and other operations of legislative bodies and other deliberative assemblies",1
small dry indehiscent fruit with the seed distinct from the fruit wall,"section of Ciney, Belgium",0
a cheaper form of telegram that is sent abroad for delivery the next day,"written correspondence April 2, 1941",1
telling fortunes by lines on the palm of the hand,manuscript,0
a temporary bridge designed for rapid construction,bridge in Canada,0
technical and intelligence information derived from foreign communications by other than the intended recipients,intelligence-gathering by interception of signals,1
a rain forest tree or shrub of New Caledonia having a conic crown and pale green sickle-shaped leaves; host species for the rare parasite yew,species of plant,1
not conforming to dietary laws,Jewish dietary laws,1
staff with a metal tip carried as a sign of office by e.g. a bailiff or constable,symbolic rod of authority of certain officers of the law,1
genus that in some classifications overlaps the genus Elymus,species of plant,0
small flag indicating a ship's nationality,American biologist,0
a genus of tropical American orioles,species of beetle,0
a city in south central Belgium situated on a promontory between the Meuse River and the Sambre River; the site of intense fighting in World War I and World War II,Count of Château-Porcéan and Namur,0
largest branch of the brachial plexus; extends down the humerus to the lateral epicondyle where it divides into one branch that goes to the skin on the back of the hand and another that goes to the underlying extensor muscles,nerve in the human body that supplies the posterior portion of the upper limb,1
a native or inhabitant of England,"English person, died c.1777",0
of or relating to entozoa,painting by Reuben Kadish,1
type genus of the family Lepadidae,"town in Penang, Malaysia",0
an underwater mountain rising above the ocean floor,mountain rising from the ocean seafloor that does not reach to the water's surface,1
(sports) the state of a professional athlete who is free to negotiate a contract to play for any team,player who is eligible to sign with any club or franchise,1
a very high boot; used especially for fishing,waterproof boots reaching to the hips,1
a tight-fitting hat with visors front and back; formerly worn by hunters,"cap with visors at front and back, often with earflaps tied on top",1
coextensive with the genus Tarsius: tarsiers,family of 'dry nosed' primates,0
an offer of two for the price of one,episode of NCIS (S15 E2),0
"a unit of information equal to 1024 mebibits or 2^30 (1,073,741,824) bits",unit of information,1
a Russian river in Siberia; rises in mountains near the Mongolian border and flows generally northward into the Kara Sea,river in Russia,0
a fungus of the family Helvellaceae,article,1
a square-dance figure; two dancers approach each other and circle back to back before returning to their original places,island in South Korea,0
the point at which an orbit crosses the ecliptic plane going south,point where an orbit crosses a plane of reference to which it is inclined,1
a national park in the Virgin Islands having tropical plants and animals; sandy beaches and coral reefs,Wikimedia category,0
a river in northwestern Russia flowing generally west into the Gulf of Finland,river in Russia connecting Lake Ladoga and the Baltic Sea,1
inducing or aiding in facilitating neural activity,scientific journal article,1
a piece of cloth used for dusting,band that plays deathgrind,0
very strong or irresistible impulse to travel,episode of Law & Order: Special Victims Unit,0
the larvae of moths that build and live in communal silken webs in orchard and shade trees,family of insects,0
a genus of Cotingidae,Wikimedia category,0
a musical composition written for six performers,Wikimedia template,0
a watchman on a wharf,television series,1
a region of central Europe rich in deposits of coal and iron ore; annexed by Prussia in 1742 but now largely in Poland,province,0
a trail that extends from Missouri to New Mexico; an important route for settlers moving west in the 19th century,"Transportation route through central North America that connected Franklin, Missouri with Santa Fe, New Mexico.",1
a body of water cut off from a larger body by a reef of sand or coral,lagoon in Côte d'Ivoire,0
alternatively placed in genus Martynia,species of plant,1
a criminal who is a member of gang,Finnish record producer,0
a country in northeastern Africa on the Somali peninsula; formerly under French control but became independent in 1997,national association football team,0
a member of the Ku Klux Klan,American white supremacy group,1
a privately owned warship commissioned to prey on the commercial shipping or warships of an enemy nation,album by Tim Renwick,0
(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid,article,0
a person (or thing) that breaks up or overpowers something,male given name,1
predatory black-and-white toothed whale with large dorsal fin; common in cold seas,album by Dirty Projectors,0
a genus of tropical American trees of the family Bignoniaceae; has a short trunk and crooked limbs and drooping branches,species of plant,0
nocturnal lemur with long bony fingers and rodent-like incisor teeth closely related to the lemurs,species of mammal,1
a native or inhabitant of Bangladesh,Sovereign country in South Asia,1
a family of protoctists,family of foraminifers,1
type genus of the Rynchopidae: skimmers,"Chicago :Field Museum of Natural History,1988. | University Library, University of Illinois Urbana Champaign View Book",0
undo the buttons of,article,1
the Turkic language spoken by the Azerbaijani,republic in Western Asia and Eastern Europe,0
recording equipment for making compact disks,disk drive that uses laser light or electromagnetic waves,1
coextensive with the order Podicipitiformes,family of birds,1
a piece of furniture that provides a place to sleep,journal,0
a commercial mix for making a cake,1987 song by Rick Astley,1
a herder of sheep (on an open range); someone who keeps the sheep together in a flock,"spring in Humboldt County, United States of America",0
supplied with louvers for ventilation,window protection with horizontal angled slats,1
an island in western Scotland in the Inner Hebrides,"island of the Inner Hebrides, in Argyll and Bute, Scotland",1
the capital of French Polynesia on the northwestern coast of Tahiti,capital of French Polynesia,1
using the name of one thing for that of another with which it is closely associated,figure of speech in which a thing or concept is referred to by the name of something closely associated with that thing or concept,1
the chief executive and political committee of the Communist Party,decision-making body in China,0
a broad belt with loops or pockets for holding ammunition,pocketed belt for holding ammunition,1
filthy run-down dilapidated housing,character in Transformers,1
metal supports for logs in a fireplace,British band,0
of or relating to or produced by the glottis,consonant produced using the glottis as the primary articulation,1
having a fluffy character or appearance,Chinese martial arts choreographer and film director,0
food fish of the northern Pacific related to greenlings,fish of the greenling family Hexagrammidae,1
a building that is subordinate to and separate from a main building,"annex to a construction, as a distinct building or a secondary part of the main one",1
the use of speech for informal exchange of views or ideas or information etc.,article,0
a pan used for frying foods,"lake in British Columbia, Canada",0
"a plug of cotton, wax, or rubber that is fitted into the ear canal for protection against the entry of water or loud noise",ornament worn in body piercing,0
"the state or degree of being ultimate; the final or most extreme in degree or size or time or distance,",2006 live video album by Beyoncé,0
capital and largest city and economic center of Peru; located in western Peru; was capital of the Spanish empire in the New World until the 19th century,municipality and town of Portugal,0
of or relating to tropical plants of the family Apocynaceae,article,1
extinct species of primitive hominid with upright stature but small brain,extinct species of the genus Homo,1
flesh of American flounder having a yellowish tail,species of fish,1
wild goose having white adult plumage,family name,0
a degenerative disorder of the central nervous system characterized by tremor and impaired muscular coordination,article,0
a metropolitan county in northern England,"town and civil parish of the City of Bradford in West Yorkshire, England",0
made or become less intense,lake of the United States of America,0
the capital and largest city of Uruguay; a cosmopolitan city and one of the busiest ports in South America,association football club,0
a present given in celebration of a person's birthday,1913 silent short film,0
very large towel to dry yourself after swimming,cloth which is used to dry something,1
the power to move something by thinking about it without the application of physical force,fictional character from the American television series Charmed,0
a public school for boys founded in 1440; located in Berkshire,article,0
a woman hired to help children cross a road safely near a school,Help for schoolchidren crossing the road,1
trade name for a fixed-combination antidiarrheal drug that use kaolin as the adsorbent and pectin as the emollient,chemical compound,1
any localized abnormal structural change in a bodily part,Catalysis of the removal oxidized pyrimidine bases by cleaving the N-C1' glycosidic bond between the oxidized pyrimidine and the deoxyribose sugar. The reaction involves formation of a covalent enzyme-pyrimidine base intermediate. Release of the enzy,0
having three unequal crystal axes with one oblique intersection,"trigonal, monoclinic and orthorhombic cyclosilicates",0
a large pot for making coffee or tea,container,1
a condition of regular or proper arrangement,"The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system.",0
loose-fitting single-breasted jacket,"jacket with box pleats front and back, pockets, and a self-belt",1
a terminal that serves air travelers or air freight,"international airport in Delhi, India",0
simultaneous processing by two or more processing units,the use of two or more central processing units (CPUs) within a single computer system,1
(Genesis 11:1-11) a tower built by Noah's descendants (probably in Babylon) who intended it to reach up to heaven; God foiled them by confusing their language so they could no longer understand one another,routing protocol,0
bat of western North America having extremely large ears,species of mammal,1
genus of European perennial herbs yielding medicinal alkaloids,genus of insects,0
first wife of Henry VIII; Henry VIII's divorce from her was the initial step of the Reformation in England (1485-1536),"Dogmersfield, Hart, Hampshire, RG27",0
a military combat vehicle on wheels with light armor (and usually a machine gun),former air arm of the Royal Navy,0
a city in south central Belgium situated on a promontory between the Meuse River and the Sambre River; the site of intense fighting in World War I and World War II,"theatre in Namur, Belgium",0
a long-lasting liquid antiseptic; used by surgeons to wash their hands before performing surgery,chemical compound,1
a tall perennial herb having spikes of small white or purple flowers; common in eastern North America,Wikimedia category,0
"reproduction of some multicellular organisms by division, as in the case of some starfish","biological process in which new individuals are produced by either a single cell or a group of cells, in the absence of any sexual process",1
a small scallop inhabiting shallow waters and mud flats of the Atlantic coast of North America,article,0
aromatic annual with a tall stems of small whitish flowers enclosed in a greatly enlarged saucer-shaped or bell-shaped calyx,Northern Irish footballer,1
genus of spiny woody shrubs or trees; named for their apparent imitation of animal sensitivity to light and heat and movement,article,1
capital of North Korea and an industrial center,"The railway which connects Pyongyang, North Korea and Dandong, China",0
introduce an idea or attitude into the mind of,article,0
a United States program of economic aid for the reconstruction of Europe (1948-1952); named after George Marshall,"Harris, Seymour Edwin - 1948",0
any of various usually poisonous plants of the genus Aconitum having tuberous roots and palmately lobed leaves and blue or white flowers,chemical compound,0
loss of bodily sensation with or without loss of consciousness,journal,1
part of the Arctic Ocean to the north of Siberia and to the east of the Barents Sea; icebound most of the year,article,0
highly seasoned cut of smoked beef,meat product,1
the branch of meteorology that studies clouds and cloud formation,album by Air Liquide,1
(of a disease) characterized by periods of diminished severity,common medical sign characterized by elevated body temperature,1
having or making equal angles,four-sided polyhedron,1
a landlocked republic in southwestern Asia; formerly an Asian soviet,justice ministry of Azerbaijan,0
the capital and largest city of Guatemala,"Municipality of Chimaltenango Department, Guatemala",0
fire delivered for the sole purpose of destroying material objects,album by Graveland,1
cactus having yellow flowers and purple fruits,genus of plants seen throughout India in dry areas,1
"the act of sowing (of seeds in the ground or, figuratively, of germs in the body or ideas in the mind, etc.)",article,0
"a mountain in the central Himalayas on the border of Tibet and Nepal (27,890 feet high)",mountain in Nepal,1
an effort to give scientific support for the truth of the account of Creation given in the Book of Genesis,"branch of creationism claiming to provide scientific support for the Genesis creation narrative and disprove/reexplain the scientific facts/theories/paradigms about geology, cosmology, biology, archeology, history, and linguistics",1
gradual healing (through rest) after sickness or injury,"village in Ohio, USA",0
consisting of or characterized by the use of pictographs,ideogram that conveys its meaning through its pictorial resemblance to a physical object,1
(Genesis 11:1-11) a tower built by Noah's descendants (probably in Babylon) who intended it to reach up to heaven; God foiled them by confusing their language so they could no longer understand one another,organization,0
small genus of herbs of the mint family,species of arachnid,0
a genus of Accipitridae,subspecies of bird,0
the capital city of Vietnam; located in North Vietnam,"university in Hanoi, Vietnam",0
a fraction with fractions in the numerator or denominator,article,0
the largest city in Texas; located in southeastern Texas near the Gulf of Mexico; site of the National Aeronautics and Space Administration,"museum in Houston, USA",0
shrubby Chilean herb having bluish-white tubular flowers used as an ornamental,species of plant,1
of or pertaining to Martin Luther or his teachings,large Lutheran denomination in the United States,0
instrument of execution consisting of a sealed chamber into which poison gas is introduced; used to kill people or animals,2005 compilation album by Satanic Warmaster,0
sea bream of warm Atlantic waters,species of fish,1
greyish highly productive European honeybee that has a quiet disposition,slovenian almanac of poetry,1
cause to adopt an opinion or course of action,print in the National Gallery of Art (NGA 31076),1
someone who appreciates wine,Wikimedia template,0
Russian composer of operas and orchestral works (1839-1881),operatic character in the opera Khovanshchina by Modest Petrovich Mussorgsky; a maiden from the German quarter,0
the capital of Cameroon,association football club,0
the power (usually of a president or governor) to pardon or commute the sentence of someone convicted in that jurisdiction,forgiveness of a crime and the cancellation of the relevant penalty,1
small shrubby mallee,variety of plant,0
a small sponge cake with a synthetic cream filling,book by Gordon Korman,0
a warrant authorizing law enforcement officials to apprehend an offender and bring that person to court,"warrant issued by a judge or magistrate on behalf of the state, which authorizes the arrest and detention of an individual, or the search and seizure of an individual's property",1
family of one species of frog: tailed frog,family of amphibians,1
a constellation in the southern hemisphere near Fornax and Cetus,galaxy cluster,0
beech fern of North American woodlands having straw-colored stripes,species of plant,1
of or relating to or produced by pyrography,art or decoration made from burn marks,1
any of a group of heavenly spirits under the god Anu,gods of heaven in Sumerian mythology,1
a condition of regular or proper arrangement,instruction to Federal government issued by the President of the United States,0
a genus of plants with pods that ripen underground (see peanut),genus of plants,1
wiring that provides power to electric lights,field study,1
cunning and sly; - Punch,"lake in Ontario, Canada",1
a veterinarian who treats horses,"Cleveland,Fairbanks, Benedict & co., printers,1866. | Library of Congress",0
showy crested Asiatic duck; often domesticated,book by Jin Yong,0
a stanza form having seven lines of iambic pentameter; introduced by Chaucer,"rhyming stanza form; seven lines, usually in iambic pentameter, with rhyme scheme  a-b-a-b-b-c-c",1
a bowl-shaped depression formed by the impact of a meteorite or bomb,lodge in Crater Lake National Park,0
(physics) a regular periodic variation in value about a mean,peer-reviewed scientific journal,0
an extreme accumulation of fat on the buttocks,Physical condition involving high amounts of tissue on the buttocks and thighs,1
maintain in the forefront of one's awareness,free software,1
a family of plants of order Urticales including many nettles with stinging hairs,family of plants,1
any of various low-growing plants of the genus Sagina having small spherical flowers resembling pearls,species of birdeye pearlwort,0
a narrow woodworking plane used to cut away excess stock,type of woodworking tool,1
a metropolitan county in northern England,"town in the City of Leeds, West Yorkshire, England, United Kingdom",0
a civilian reserve component of the United States Army comprised of guardsmen who serve during overseas peacekeeping missions and during local emergencies,part of the National Guard of the United States,1
a genus of tropical American orioles,species of insect,0
unwillingness to recognize and respect differences in opinions or beliefs,pre-diabetic state of hyperglycemia that is associated with insulin resistance and increased risk of cardiovascular pathology. IGT may precede type 2 diabetes mellitus by many years,1
impossible or difficult to pronounce correctly,album by Prince,1
a quahog when young and small; usually eaten raw; an important food popular in New York,species of mollusc,1
a degenerative disorder of the central nervous system characterized by tremor and impaired muscular coordination,journal,0
surgical removal of the palatine tonsils; commonly performed along with adenoidectomy,journal article; published in Acta Oto-Laryngologica in 2012,0
(of a state or an event) taking place without something specified occurring at the same time,Unaccompanied minor refugee,1
traverse as if by a short airplane trip,Subgenre of Hip-Hop,0
either of two muscles of the abdomen and pelvis that flex the trunk and rotate the thigh,long fusiform muscle located on the side of the lumbar region of the vertebral column and brim of the lesser pelvis,1
a press for extracting juice from garlic,kitchen utensil,1
"take drugs, especially orally","genre of popular music which originated in its modern form in the late-1950s, deriving from rock and roll",1
an edible jelly (sweet or pungent) made with gelatin and used as a dessert or salad base or a coating for foods,type of photographic print made using gelatin silver process,1
"a mountain peak in the Karakoram Range in northern Kashmir; the 2nd highest peak in the world (28,250 feet high)",article in Otto's encyclopedia,0
common thorny tropical American tree having terminal racemes of yellow flowers followed by sickle-shaped or circinate edible pods and yielding good timber and a yellow dye and mucilaginous gum,"river in Pampanga, Philippines",0
(biology) the existence of two or more forms of individuals within the same animal species (independent of sex differences),article,0
extinct terrestrial reptiles: theropods (carnivorous); sauropods (herbivorous),order of dinosaurs,1
a lung disease caused by inhaling particles of silica or quartz or slate,"pneumoconiosis that is an inflammation and scarring of the upper lobes of the lungs causing nodular lesions resulting from inhalation of silica, quartz or slate particles",1
used in some classifications for plants usually included in genus Desmodium,Wikimedia category,0
the basic unit of money in Djibouti,currency of Djibouti,1
a United States military decoration for gallantry in action,Japanese order,0
a herder of sheep (on an open range); someone who keeps the sheep together in a flock,1913 film by Romaine Fielding,0
a merchant who owns or manages a shop,English antiquarian and shopkeeper,0
a canal connecting Cape Cod Bay with Buzzards Bay,"artificial waterway in Massachusetts, USA, connecting Cape Cod Bay to Buzzards Bay",1
a league of bowling teams,Group event where several teams bowl against each other over the course of a season.,1
of persons; not given to controversy,lawyer of noncontentious private civil law,1
a family of fungi or order Sclerodermatales with a single-layered peridium; includes earthballs,family of fungi,1
bluish-grey nuthatch with reddish breast; of northern coniferous forests,"scholarly article published in The Auk, October 1896",0
a cast taken from the face of a dead person,sculpture in the National Gallery of Art (NGA 46432),0
any of the German princes who were entitled to vote in the election of new emperor of the Holy Roman Empire,Elector Palatine,0
a surgical procedure that attempts to restore the function of the vas deferens after a vasectomy,undo vasectomy,1
New Zealand tree with glossy leaves and scaly reddish-brown bark,species of plant,1
fleshy indehiscent fruit with a single seed: e.g. almond; peach; plum; cherry; elderberry; olive; jujube,"lake in Mauricie, Canada",0
any of various minerals consisting of hydrous silicates of aluminum or potassium etc. that crystallize in forms that allow perfect cleavage into very thin leaves; used as dielectrics because of their resistance to electricity,Serbian actor (1923-1991),0
a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes,2014 video game,0
Australian shrub having simple obovate leaves and brilliant scarlet flowers,species of plant,1
a rake used by gardeners,agricultural tool used for moving soil or other material,1
a bachelor's degree in religion,postgraduate academic degree in divinity or theology,1
a thick soft cake with a porous texture; cooked on a griddle,television series,0
an extremist militant group in Pakistan occupied Kashmir that seeks an Islamic government and that has had close links and fought with the Taliban in Afghanistan,"Israeli musicologist: researcher and professor at JAMD, HUJI & TAU",0
an exploratory oil well drilled in land not known to be an oil field,a series in the National Archives and Records Administration's holdings,0
with condescension; in a patronizing manner,The act of a white person condescendingly explaining racism and/or sociopolitical issues related to race to a non-white audience,1
an expanded molecular formula showing the arrangement of atoms within the molecule,graphic representation of a molecular structure,1
an interior door,An assembly of two or more vertical panels hinged together so they can open or close in a confined space. A floor- or ceiling-mounted track is usually provided as a guide.,1
a morphine derivative that is not as strong as morphine; used as an emetic and in small doses as a sedative,chemical compound,1
orchid with yellowish-brown flowers with dark veins; southeastern Arizona to the eastern United States,variety of plants,0
"concerned with policy, not administration",article,0
a small constellation in the northern hemisphere between Bootes and Hercules,yellow supergiant star in the constellation Corona Borealis,0
capital of Armenia,researcher ORCID ID = 0000-0003-0228-4257,0
the state of being weak in health or body (especially from old age),male order in the Catholic Church,0
a ship's small boat (usually rowed by 4 or 6 oars),naval watercraft designed for bombardment of coastal targets,0
"a person who gives private instruction (as in singing, acting, etc.)",one who directs and strategizes the behavior of a basketball team or player,0
the time in the menstrual cycle when fertilization is most likely to be possible (7 days before to 7 days after ovulation),a type of ovulation cycle where the endometrium is shed if pregnancy does not occur.,1
perennial bog herb having dark red flowers and decumbent broadly winged pitchers forming a rosette; of northeastern North America and naturalized in Europe especially Ireland,article,0
type and sole genus of the family Tarsiidae,subgenus of mammals,0
large genus of stiff or spiny evergreen or deciduous Old World shrubs: broom,article,0
a deep inlet of the Atlantic Ocean in Rhode Island,"bay comprising 28 miles of coastline in the state of Rhode Island, USA",1
ctenophore having a ribbon-shaped iridescent gelatinous body,synonym of Cestum veneris,0
a mountainous landlocked communist state in southeastern Asia; achieved independence from France in 1949,capital of Laos,0
the tongue of a cow eaten as meat,clinical trial,0
a person who has an obsession with or excessive enthusiasm for something,single,0
the voice used to indicate that the grammatical subject of the verb is performing the action or causing the happening denoted by the verb,record label,0
small grebe with yellow ear tufts and a black neck; found in Eurasia and southern Africa as well as western United States,subspecies of bird,0
a hill to the to the west of the Athenian acropolis where met the highest governmental council of ancient Athens and later a judicial court,article,0
type genus of Cycadaceae: genus of widely distributed Old World evergreen tropical trees having pinnate leaves and columnar stems covered with persistent bases of old leaves,genus of plants,1
metal supports for logs in a fireplace,second oldest dogsled race in the United States,0
a town in southern Minnesota,"movie theater in Mankato, Minnesota, United States",0
climbing shrub with adhesive aerial roots having opposite leaves and small white flowers in terminal cymes; Himalayas to Taiwan and Japan,species of plant,1
black or white seeds ground to make mustard pastes or powders,"Irish restaurant located in Ballingarry, County Limerick",0
North American elm having rough leaves that are red when opening; yields a hard wood,human settlement in United States of America,0
trousers with legs that flare; worn by sailors; absurdly wide hems were fashionable in the 1960s,trousers cut wider at the ankle than the knees,1
the capital of Cameroon,archdiocese,0
an exorbitant or unlawful rate of interest,doctoral thesis,0
relating to or secreting synovia,synovium cancer which develops in the synovial membrane of the joints,1
a unit of information equal to 1000 zettabytes or 10^24 bytes,sports club in Switzerland,0
a United States destroyer,Arleigh Burke-class destroyer,1
a native or inhabitant of England,nation and ethnic group native to England,1
the basic unit of money in Canada,Wikinews article,0
(of living organisms) emitting light,The production of light by certain enzyme-catalyzed reactions in cells.,1
monotypic family of fungi in which the more or less spherical gleba is forcibly ejected at maturity,family of fungi,1
a weak-stemmed winter annual native to Mediterranean region for long established in southern United States; cultivated as a cover and pasture crop,Wikimedia category,0
a condition of regular or proper arrangement,"Any process that increases the frequency, rate or extent of cell migration involved in sprouting angiogenesis. Cell migration involved in sprouting angiogenesis is the orderly movement of endothelial cells into the extracellular matrix in order to fo",0
a pinpoint bomb guidance device that can be strapped to a gravity bomb thus converting dumb bombs into smart bombs,aerial bomb,1
a terrorist organization founded in 2000; a militant Islamic group active in Kashmir and closely aligned with al-Rashid Trust; seeks to secure release of imprisoned fellow militants by kidnappings,Terrorist organisation,1
any flexible device that will return to its original shape when stretched,elastic device,1
truck whose contents can be emptied without handling; the front end of the platform can be pneumatically raised so that the load is discharged by gravity,English mathematician,0
a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes,1913 film by George D. Baker,0
a militant Islamic fundamentalist political movement that opposes peace with Israel and uses terrorism as a weapon; seeks to create an Islamic state in place of Israel; is opposed to the PLO and has become a leading perpetrator of terrorist activity in Israel; pioneered suicide bombing,family name,0
a resort town in east central Florida,"capital city of Victoria, Australia",1
a herbaceous plant genus of the family Linaceae with small sessile leaves,species of plant,0
medium-sized swamp gum of New South Wales and Victoria,species of plant,1
entertainment that is intended to be educational,journal article; published in The American Journal of Bioethics in 2016,0
the largest moon of Neptune,episode of SpongeBob SquarePants,0
an image vivid enough to be a hallucination but recognized as unreal,"involuntary sensory experience vivid enough to be regarded as a hallucination, but recognised by the patient not to be the result of external stimuli",1
a watch with a digital display,personal timepiece,1
a person afflicted with arthritis,An arthritis that is an autoimmune disease which attacks healthy cells and tissue located in joint.,0
Greenwich Mean Time updated with leap seconds,Identifier for a time offset from UTC of +03:00,0
a digital display that uses liquid crystal cells that change reflectivity in an applied electric field; used for portable computer displays and watches etc.,cell line,0
a woodworking plane that has interchangeable cutters of various shapes,"planes (tools), , woodworking tools, woodworking equipment, , equipment, Tools and Equipment (Hierarchy Name), Furnishings and Equipment (Hierarchy Name), Objects Facet",1
an Iranian language spoken in Afghanistan and Pakistan; the official language of Afghanistan,mountain in Iran,0
a city in eastern China on the Yangtze River; a former capital of China; the scene of a Japanese massacre in the 1930s,"normal university in Nanjing, Jiangsu, China",0
(Islam) the man who leads prayers in a mosque; for Shiites an imam is a recognized authority on Islamic theology and law and a spiritual guide,badminton player,0
a custodian who lives in and cares for a house while the regular occupant is away (usually without an exchange of money),episode of House (S7 E5),1
assets in the form of material possessions,supplies raw materials and unprocessed food,0
someone who tries to insure their personal survival or the survival of their group or nation,skills,0
a raised structure on which gifts or sacrifices to a god are made,three cards placed on the altar during the Tridentine Mass,0
a small piece of luggage for carrying brushes and bottles and toilet articles while traveling,drawing in the National Gallery of Art (NGA 21046),1
a former inlet of the North Sea in the northern coast of the Netherlands; sealed off from the sea in 1932 by a dam that created the IJsselmeer,"painting by Cooke, Edward William",0
a vasodilator (trade name Loniten) used to treat severe hypertension; one side effect is hirsutism so it is also sold (trade name Rogaine) as a treatment for male-patterned baldness,scientific journal article,0
a family of birds of the order Coraciiformes,family of birds,1
an order of dicotyledonous plants including Moraceae and Urticaceae and Ulmaceae,family of plants,0
Austrian writer (1881-1942),sculpture by Félix Schivo,0
a kitchen utensil used for mashing (e.g. potatoes),album,0
a member of the people inhabiting the Aleutian Islands and southwestern Alaska,chain of islands in the Northern Pacific,1
a woody vine of eastern North America having large oval leaves and small white flowers and purple to blue-black fruits,species of plant,1
the largest asteroid and the first discovered,"village in Fife, Scotland",0
baked custard topped with caramel,music group,0
a former French unit of area; equal approximately to an acre,"canal in Lafourche Parish, Louisiana, United States of America",0
a pistol with a revolving cylinder (usually having six chambers for bullets),handgun that has a cylinder containing multiple chambers and at least one barrel,1
"a major mountain range of central Asia; extends 1,500 miles","district of Naryn Province, Kyrgyzstan",0
