synset_id,synset_description,synset_words,wikidata_qnode,wikidata_description,wikidata_labels,gained_votes
correction.n.04,a rebuke for making a mistake,"correction,chastening,chastisement",Q1348305,published correction to a previous publication,"erratum,Corrigendum,Erratum,errata,corrigendum,correction,erratum,\,corrigenda,Erratum,Errata,errata_sheets,error",7|8
overindulgence.n.01,excessive indulgence,"overindulgence,excess",Q15326,broad term for problems with alcohol,"alcoholism,alcohol_use_disorder,alcohol_dependence_syndrome,Alcoholism,heavy_alcohol_consumption,alcoholic_detachment,boozy,problem_drinkers,drink,wino,souse,overindulgence_in_drink,chronic_alcoholic,Alcohol_abuse,heavy_drinking_of_alcohol,drinker,not_a_one-off_occurrence,alcohol,alcoholic_inclination,acute_alcoholism,drank_heavily,Alcohol_Use_Disorder_(AUD),drank,issues_with_alcohol,drinking,Alcohol,a_drinking_man,weakness_for_alcohol,heavy_drinking_problem,inebriates,potential_alcohol_problems,alcohol_problem,inebriety,alcohol_intoxication,excessive_alcohol_use,alcohol_habit,drink_problem,alcoholic_depression,addicted_to_drink,drunken,misuse_of_alcohol,abuse_alcohol,old_habit,drinking_too_much,drinks_himself_to_death,Drunkard,addiction_to_alcohol,alcoholics,abuser_of_alcohol,serious_addiction_to_alcohol,recovering_alcoholic,struggles_with_alcohol,personal_problems,problems_with_alcohol.,Alcoholism#Epidemiology,problem_with_alcohol,Alcoholics,gotten_sober,drowning_his_sorrows,alcoholic_care,Acute_alcoholism,perpetually_thirsty,drunks,alcohol_withdrawal,demon_drink,hard_drinking,dependence_on_alcohol,heavy_drinking,problems_with_alcohol,heavy_drinkers,never_knew_a_dry_day_in_his_life,alcohol-dependent,chronic_alcohol_consumption,Drunk,real-life_drinking_problem,Alcohol_Addiction,alcoholic_stupor,drunkenness,turned_to_drink,misuse,drink_heavily,alcohol_addiction,alcohol-related_problems,drink_a_lot,treatment_for_drug_or_alcohol_abuse,Alcoholic,Chronic_alcoholism,alcohol_problems,drinking_to_excess,'run_him_over'_a_bit_at_a_time_for_years,drinking_problem,alcoholic,alcohol_addicts,alcohol-related_illness,inebriation,bottle,excessive_drinking,alcoholism,excessive_alcohol_consumption,Alcoholism#Management,chronic,heavy_drinker,alcohol-suffering,kills_him_due_to_his_consumption,drink_to_excess,alcohol_dependency,drinking_heavily,drunkard,winos,abusing_alcohol,alcohol_use_disorder,drunkard's,alcohol_addictions,hit_the_bottle_pretty_hard,drunk,booze_addiction,permanently_bound_to_whiskey,Alcoholism#Medications,chronic_alcoholism,addicted_to_alcohol,lush,alcohol-related_disorders,problematic_drinking,boozer,chronic_alcoholics,problem_drinking,dependent_on_alcohol,drinking_problems,Alcoholism,a_drinking_problem,teenage_alcoholism,alcohol_dependence,drink_alcohol_heavily,alcohol_abuse,heavy-drinking,repeated_consumption_of_large_amounts_of_ethanol",7|8
aortitis.n.01,inflammation of the aorta,aortitis,Q666481,inflammation of the aorta,"Syphilitic_aortitis,Syphilitic_aortitis_(disorder),syphilitic_aortitis,Syphilitic_aortitis,Syphilitic_aortitis,syphilis,Syphilitic_aortitis,syphilitic_cerebral_arteritis,syphilitic_aortitis",7|8
rusticate.v.01,live in the country and lead a rustic life,rusticate,Q894532,"uncut stone that is laid in place in a building, projecting outward from the building","bossage,Bossage,Bossage,bossed,bossage,rusticated,bosses",7|8
expressly.r.01,with specific intentions; for the express purpose,expressly,Q211025,"musical genre, piece of music in origin was expressly written for marching","march,March_(music),MARCH_in_Music,marching,Marches,march,military_slow_march,trio,March,regimental_march,martial_music,march_rhythm,marching_songs,march_past,military_marches,marching_music,March-style,conventional_marching_songs,Alla_marcia,Marsch,march_(music),Marcia,march_music,March_songs,marching_song,Marching,Marche_triomphale,military_march_music,March_Song,quick_march,March_(music),military_march,March_music,Marche,martial,Military_March,Military_march,marching_cadence,regimental_marches,march_composer,militar_march,marches,alla_marcia",7|8
myrsinaceae.n.01,family of Old World tropical trees and shrubs; some in Florida,"Myrsinaceae,family_Myrsinaceae,myrsine_family",Q161260,family of plants,"Myrsinaceae,Myrsinaceae,Myrsinaceae,Myrsine",7|8
adoptive.a.01,of parents and children; related by adoption,adoptive,Q180472,process whereby a person assumes the parenting for a child born by other parents,"adoption,Adoption,adopted_children,surrendered_at_birth,racial_heritage,adopt_children,foster,tracing_of_birth_families_by_adoptees,birth_mother,legally_placing,adoptive_children,adoptive_family,adoptive_services,adoptive_parents,adoption_agency,adoptee,International_Adoption,adopted,adoptive,informally_adopted,adoptive_daughter,legally_adopted,Adoption#How_adoptions_originate,the_intention_to_adopt,adopts,Adoptive_Parents,Adopted,adoption_counselor,by_adoption,Adoption#Parenting,adoption,\,adopted_child,Adoption,adopting,adoption_studies,Adopt,adopted_persons,adoptive_parent,birth_parents,adopting_a_child,adopt,adoptive_son,adopting_children,Homecoming_Day,adoptees",7|8
decapitate.v.01,cut the head of,"decapitate,behead,decollate",Q204933,separation of the head from the body,"decapitation,beheading,Decapitation,headless_bodies,behead_a_bound_captive,execution_by_decapitation,decapitates,Off_with_their_heads,her_head_fell_off,decapitation,decapitate,an_otherwise-fatal_injury,head_cut_off,death_by_beheading,Decapitation#Celts,throat_being_cut_through,cut_off_her_head,beheaded,sever_the_head,Decapitated,ἀποκεφαλίστηκαν,severed,disembodied,Decapitation#Japan,cut_off_his_head,executed,headless,punished,removed,death_by_the_axe,beheading,behead,Decapitating,head_on_a_platter,scaffold,severed_heads,ripping_his_head_off,executioner's_block,separated_from_its_trunk,cutting_off_the_head,human_heads,executed_by_decapitation,beheads,ritualised_decapitation,head_in_hands,tearing_off_his_own_head,Beheading,cut_her_head_off,executed_by_axe,his_severed_head,Decapitation,Beheaded,decapitating,his_head_was_knocked_off,severed_head,decapitated,cuts_Scarecrow's_head_off,beheadings,sever_the_boy's_head,execution_block,cut_off",7|8
acanthocytosis.n.01,the presence of acanthocytes in the blood stream (as in abetalipoproteinemia),acanthocytosis,Q746781,Neuroacanthocytosis (NA) syndromes are a group of genetic diseases characterized by the association of red blood cell acanthocytosis (deformed erythrocytes with spike-like protrusions) and progressive degeneration of the basal ganglia,"neuroacanthocytosis,Neuroacanthocytosis,Neuroacanthocytosis,Neuroacanthocytosis#Huntington's_disease-like_2,neuroacanthocytosis,Neuroacanthocytosis,Neuroacanthocytosis#Huntington.27s_disease-like_2,:Neuroacanthocytosis",7|8
aftercare.n.01,care and treatment of a convalescent patient,aftercare,Q1891441,gradual recovery of health and strength after illness or injury,"convalescence,Convalescence,Convalescence,convalescent,recuperation,recuperating,convalescent_hospital,convalesce,convalescing,convalescence,convalesced,convalescent_homes,convalescent_state,aftercare,recovery",7|8
athwart.r.01,at right angles to the center line of a ship,athwart,Q22459813,"island in Newfoundland and Labrador, Canada",Athwart_Islet,7|8
horn-shaped.s.01,shaped in the form of a horn,horn-shaped,Q28840938,curved horn shape,"corniform,horn_shape,horn-shaped,curved_horn,cornucopia",7|8
brown_root_rot_fungus.n.01,fungus causing brown root rot in plants of the pea and potato and cucumber families,"brown_root_rot_fungus,Thielavia_basicola",Q10696724,species of fungus,Thielavia_basicola,7|8
troy_unit.n.01,any of the unit of the troy system of weights,troy_unit,Q1974806,system of units of mass,"Troy_weight,Troy_weight,troy_weight,troy_ounce,troy_pound,troy_ounces,troy_system,Troy_weight#Etymology,ounce,troy_pounds,Troy,Troy_weight,Troy_units_of_weight,ounces,troy,troy_grains,pound,Troy_pound",7|8
portcullis.n.01,gate consisting of an iron or wooden grating that hangs in the entry to a castle or fortified town; can be lowered to prevent passage,portcullis,Q23391,heavy vertically-opening gate typically found in medieval fortifications,"portcullis,Portcullis,portcullises,Portcullis,portcullis",7|8
open-end_credit.n.01,a consumer credit line that can be used up to a certain limit or paid down at any time,"open-end_credit,revolving_credit,charge_account_credit",Q1666557,type of credit that does not have a fixed number of payments,"revolving_credit,Revolving_credit,Revolving_credit,revolving_charge_account,revolving_credit,revolving_line_of_credit,revolving,revolvers,revolving_loan",7|8
dhaulagiri.n.01,"a mountain in the Himalayas in Nepal (26,820 feet high)",Dhaulagiri,Q165440,mountain in Nepal,"Dhaulagiri,Dhaulagiri,Dhaulagiri_II,Dhaulagiri_IV,Mt._Sisne,6,Dhaulagiri_Group,Jaipur_Princely_State,Putha_Hiunchuli,Dhaulagiri_VI,Dhaulagiri,Dhaulagiri_V,Churen_Himal,Dhaulagiri_I,Mt_Dhaulagiri,Mt._Dhaulagiri,Mount_Dhawalagiri,dhaulagiri",7|8
corrosion-resistant.s.01,impervious to corrosion,corrosion-resistant,Q172587,steel alloy resistant to corrosion,"stainless_steel,inox_steel,inox,Stainless_steel,Inox,type_of_stainless_steel,BG-42,Stainless_steel,316L,SS316,stainless_systems,grade_316L,Ferritic_stainless_steel,300_series,type_316,stainless-steel,austenitic_stainless_steels,type_304_stainless_steel,Stainless_steel#Types_of_stainless_steel,stainless_steel,stainless_production,Stainless_Steel,chrome_steel,inox,chromium_nickel_steel,18%_chromium_type_corrosion-resistant_steels,Stainless_steel#Applications,Stainless_steel_,Type_316,Stainless,steel,low-temperature_stainless_steel,stainless,stainless_steel_tube,Stainless_steel_products,silverware,Stainless_steel#Other,Stainless_steel#Types_of_stainless_steel,duplex_stainless_steel,surgical_stainless_steel,type_4,420,Austenitic_stainless_steel,Steel,_stainless,Polished_stainless_steel,Painted_stainless_steel,SS,ATS-34,Stainless-Steel,316_SS",7|8
sinhala.a.01,of or relating to the Sinhalese languages,"Sinhala,Singhalese,Sinhalese",Q13267,language of the Sinhalese people of Sri Lanka,"Sinhala,Singhalese_language,Helabasa,Sinhalese_language,Sinhalese,sin,si,Sinhala_language,Sinhala_language,sinhala,sinhalese,Sinhala-language,Hindi,Cingalese,Sinhala,Sinhala_(Sinhalese),colloquial_Sinhala,Sihala,sinhala_language,Sinhala_literature,සිංහල,Traditional_Sinhala,si,Sinhalese,Sinhala_language,''in_Sinhala'',Sinhala_Language,Sinhala_medium,''Sinhala'',Singhalese",7|8
oran.n.01,a port city in northwestern Algeria and the country's 2nd largest city,Oran,Q131818,A city in Algeria,"Oran,Wahran_,_france,Oran,Oran#City_districts,Wahran,oran,Wahrān_وهران,Bey_Hassan,Oran_(1791),وهران_(Wahrān/Wahrán),Oran_Harbor,Oran_history,Oran,_Morocco,Oran,history,Oran,_Algeria,El_Hamri,Tafaraoui,Wahrān,Mers-el-Kebir,Wahran_وهران,city_of_the_same_name,Oran#El_Hamri,Ouahran",7|8
congo_red.n.01,a red-brown azo dye especially as a chemical pH indicator (congo red is red in basic and blue in acidic solutions),congo_red,Q114391,chemical compound,"Congo_red,Congo_red,congo_red,Congo_Red,Congo_red",7|8
lymphogranuloma_venereum.n.01,infectious disease caused by a species of chlamydia bacterium; transmitted by sexual contact; characterized by genital lesions and swelling of lymph nodes in the groin,"lymphogranuloma_venereum,LGV,lymphopathia_venereum",Q694552,"sexually transmitted disease caused by the invasive serovars L1, L2, L2a or L3 of Chlamydia trachomatis.","lymphogranuloma_venereum,Climatic_or_tropical_bubo,Durand-Nicolas-Favre_disease,Lymphogranuloma_inguinale,Poradenitis_inguinale,Strumous_bubo,lymph_granuloma_inguinale,LGV,Lymphogranuloma_venereum,elephantiasis,lymphogranuloma_venereum,''L._venereum''_infection,Lymphogranuloma_venereum,Durand-Nicolas-Favre_disease,lympho_granuloma",7|8
extinction.n.05,a conditioning process in which the reinforcer is removed and a conditioned response becomes independent of the conditioned stimulus,"extinction,experimental_extinction",Q1431332,"Any process carried out at the cellular level that results in either long-term transcriptional repression via action on chromatin structure or RNA mediated, post-transcriptional repression of gene expression.","gene_silencing,GO:0016458,long-term_maintenance_of_gene_inactivation,Gene_silencing,silence,gene_silencing,Silencing,silencing_of_genes,gene-silencing,TGS,Gene_silencing#Transcriptional_gene_silencing,Gene_silencing#Post-transcriptional_gene_silencing,Epigenetic_silencing,Gene_silencing,silence_gene,silenced_gene,epigenetic_silencing,silent,Silencing_the_gene,silences,transcriptional_silencing,silencing,PTGS,silenced,post-transcriptional_gene_silencing_mechanism,Transcriptional_gene_silencing,silencing_of_plant_genes",7|8
sand_cat.n.01,a desert wildcat,sand_cat,Q175329,species of the only cat living foremost in true deserts,"sand_cat,Felis_margarita,sand_dune_cat,Sand_cat,Sand_cat,F._margarita,''F._margarita'',Felis_margarita,cat_of_the_sand,sand_cat",7|8
sindhi.n.02,the Indic language of Sind which is spoken also in western India,Sindhi,Q33997,Indo-Aryan language spoken in South Asia (Pakistan and India),"Sindhi,Sindhi_language,sd,sindhi,Sindhi_language,Sindhi,Sindhi_Language,sindhi,Sindh,Sindhi_alphabet,Sindhi_script,Sindhi,_Seraiki,_Multani,language,Sindhi-language,Sindhi_language#Arabic_script,Khatri,in_the_Sindhi_alphabet,Sindhi_,sindhi_language,Sindhi_language#Writing_system,SindhiSindhi,Lawati_(Khojki),_Gujarati,Sindhī,Sindhi_language",7|8
centrosema.n.01,a genus of chiefly tropical American vines of the family Leguminosae having trifoliate leaves and large flowers,"Centrosema,genus_Centrosema",Q2718285,genus of plants,"Centrosema,Centrosema,Centrosema",7|8
borzoi.n.01,tall fast-moving dog breed,"borzoi,Russian_wolfhound",Q37866,dog breed,"Borzoi,Borzoi,Russian_Wolf-Hounds,borzoi,Russian_wolfhounds,Russkaya_Psovaya_Borzaya,Borzoi,Russian_Wolfhound",7|8
endotracheal_tube.n.01,a catheter that is inserted into the trachea through the mouth or nose in order to maintain an open air passage or to deliver oxygen or to permit the suctioning of mucus or to prevent aspiration of the stomach contents,endotracheal_tube,Q1340889,catheter used to deliver air,"Tracheal_tube,endotracheal_tube,tracheostomy_tube,tracheal_button,Tracheal_tube,double_lumen_tracheal_tube,Breathing_tubes,Tracheal_tube#Tracheostomy_tube,Tracheal_tube,Endotracheal_Tube,tracheal_tube,ET_tube,breathing_tubes,breathing_tube,tube,endotracheal_tube,cannula,Endotracheal_tube",7|8
vanishing.n.01,a sudden or mysterious disappearance,vanishing,Q3030513,action of disappearing or vanishing,"disappearance,vanishing",7|8
pass.n.05,any authorization to pass or go somewhere,"pass,passport",Q23069713,opening or path allowing passage through an otherwise difficult to cross barrier,pass,7|8
temple_orange.n.02,large sweet easily-peeled Florida fruit with deep orange rind,temple_orange,Q3051888,citrus fruit hybrid of the mandarin orange,"Tangor,Tangor,Tangor,tangor,Murcott,temple_orange",7|8
echinoidea.n.01,sea urchins and sand dollars,"Echinoidea,class_Echinoidea",Q1011198,superorder of sea urchins,"Gnathostomata,Gnathostomata_(echinoid),Gnathostomata",7|8
koto_player.n.01,a musician who plays the koto,koto_player,Q289037,traditional Japanese stringed musical instrument,"koto,Koto_(instrument),Koto,kotos,Japanese_harp,koto,20-string_koto,toy_koto,koto_player,gaku_so,Japanese_Koto,Koto_(instrument),2_kotos,koto_instrument,''koto'',Harp",7|8
stonewalling.n.01,stalling or delaying especially by refusing to answer questions or cooperate,stonewalling,Q7619384,refusal to communicate or cooperate,"Stonewalling,Stonewalling,stonewalling,Stonewalling,stonewalled,stonewaller",7|8
mill.n.03,English philosopher and economist remembered for his interpretations of empiricism and utilitarianism (1806-1873),"Mill,John_Mill,John_Stuart_Mill",Q50020,British philosopher and political economist,"John_Stuart_Mill,J._S._Mill,John_Stuart_Mill,Mill,_J._S.,Mr_J._S._Mill,John&nbsp;Stuart&nbsp;Mill,J._S._Mill,JS_Mill,J.S._Mill,John_Mill,Mill,John_Stuart_Mill's,Millsian,J._S._Mill's,Stuart_Mill,John_Stuart_Mill,John_Stuart_Mill#Utilitarianism,John_Stuart,J._Stuart_Mill,Mill,_John_Stuart,J_S_Mill",7|8
boothose.n.01,protective stockings worn with or in place of boots,boothose,Q4943943,overstockings worn with boots to protect fine stockings from wear,"boot-hose,boothose,boot_hose,book_stocking,Boothose,boothose,Boothose",7|8
vaginitis.n.01,inflammation of the vagina (usually associated with candidiasis),vaginitis,Q4007235,"inflammation of the vagina due to the thinning and shrinking of the tissues, as well as decreased lubrication","postmenopausal_atrophic_vaginitis,vaginal_atrophy,urogenital_atrophy,Senile_vaginitis,atrophic_vaginitis_(disorder),atrophic_vaginitis,Atrophic_vaginitis,Atrophic_vaginitis,Atrophic_vaginitis,Vulvovaginal_atrophy,atrophic_vaginitis,vaginal_atrophy,vulvar_and_vaginal_atrophy",7|8
illegal_possession.n.01,possession of controlled substances,illegal_possession,Q1328508,"laws or policies that regulate the manufacture, sale, transfer, possession, modification, or use of firearms","gun_control,firearms_control,gun_law,gun_ban,gun_control_law,gun_prohibition,gun_regulation,handgun_ban,Gun_control,Gun_control,gun-fearing,gun_ownership_restrictions,restrictions,Gun_control,restrictions_on_firearm_ownership,gun_violence_prevention,gun_violence_prevention_policies,firearms_legislation,anti-gun,Action_Plan_on_Disarmament_for_light_weapons,taking_away_our_arms,Gun_control#Studies_and_debates,laws_regulating_gun_registration_and_gun_restriction,control,gun_rights,gun_laws,gun-control,gun_control_and_regulation,illegal_possession_of_a_firearm,limiting_the_availability_of_guns,gun_safety,gun_regulation,firearms_regulation,gun_control,firearm_control,Waffenbesitz",7|8
connotative.a.01,having the power of implying or suggesting something in addition to what is explicit,connotative,Q661062,"cultural or emotional association that some word or phrase carries, in addition to the word's or phrase's explicit or literal meaning","connotation,Connotation,negatively_connoted,connotes,connoted,connote,connotatively,connotative_meaning,connoting,connotative,Connotation,connotation,connotations",7|8
kraurosis.n.01,atrophy and shriveling of the skin or mucous membrane,kraurosis,Q18558010,Human disease,"leukoplakia_of_penis,Kraurosis_of_penis,Leucoplakia_of_penis,Leukoplakia_of_penis_(disorder),Penile_Leukoplakia,Leukoplakia_of_the_Penis,Kraurosis_Penis",7|8
viceroyship.n.01,the position of viceroy,viceroyship,Q878972,Wikimedia list of persons,"list_of_viceroys_of_Naples,List_of_viceroys_of_Naples,Spanish_viceroy_of_Naples,Spanish_viceroys,to_Naples,Archbishop_and_Viceroy_of_Naples,viceroyship,Viceroys_of_Naples,viceroy_of_Naples,Viceroy_of_Naples,List_of_viceroys_of_Naples,French,Spanish",7|8
port.v.01,"put or turn on the left side, of a ship",port,Q44782,place on a coast or harbor where ships can land,"port,Port,Cargo_port,deep-water_port,harbour,river_ports,container_port,naval_port,Fishing_Ports,10-year_port,terminal,port,sea_port,Port#Warm-water_port,commercial_port,fluvial_port,cargo_port,fishing_ports,ocean_port,marine_terminals,port_town,port_terminals,Port_infrastructure,Port_of_calls,sea_terminals,port_systems,Port,trading_port,seaports,working_port,major_port,ice-free_ports,landing_place,port_terminal,Port_§_Port_of_call,Major_port,port_city,seaport_city,ship_ports,port_cities,Fishing_port,port_sampling,Terminal,Ports_of_call,canal_port,port_facilities,Seaports,Minor_port,port_community,port_of_call,port-of-call,warm-water_port,Seaport,Port_management,shipping_terminal,ports_of_call,shipping_gateway,fishing_port,river_port,port_call,port_complex,seaport,ports-of-call,destinations,trading_ports,great_coastal_cities,ocean_terminals,harbour_city,Port_Terminals,port_facility,ports,Ports,port_village,sea-port,historic_port,Shipping_terminal,sea_fishing_port,seaport_in_the_United_States,coastal_city,Trust_Ports,Port#warm_water_port,Port#Fishing_port,port-facilities,Terminals,shipping_port,ferry_and_the_fishing_port,ship_terminals,coastal_port",7|8
