text1,text2,is_same
a person with hyperopia; a farsighted person,clinical trial,1
an oleoresin extracted from the capsicum pepper plant,Lachrymatory Agent,1
an order of monocotyledonous herbs,Wikimedia category,0
a fungus family of loose smuts,family of fungi,1
inability to name objects or to recognize written or spoken names of objects,type of aphasia that causes problems with recalling words or names,1
of humble birth or origins,album by Anberlin,1
stout stick that is larger at one end,organization for the purpose of playing one or more sports,1
a chess move early in the game in which the player sacrifices minor pieces in order to obtain an advantageous position,Finnish rapper,0
the capital and largest city of Burundi,German diplomatic mission,0
a militant Islamic fundamentalist political movement that opposes peace with Israel and uses terrorism as a weapon; seeks to create an Islamic state in place of Israel; is opposed to the PLO and has become a leading perpetrator of terrorist activity in Israel; pioneered suicide bombing,"American comic book writer, artist, actor and musician",0
a soft lightweight muslin used especially for babies,"soft, lightweight, plain-woven cotton fabric",1
copepod water fleas,genus of crustaceans,1
a Dravidian language spoken in south central India,language,1
(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid,article,0
a primitive method of determining a person's guilt or innocence by subjecting the accused person to dangerous or painful tests believed to be under divine control; escape was usually taken as a sign of innocence,1980 edition,0
the capital and largest city of the Republic of the Congo,archdiocese,0
"a solemn promise, usually invoking a divine witness, regarding your future acts or behavior",oath whereby a subject or citizen acknowledges a duty of allegiance and swears loyalty to the state,0
a small chiefly ground dweller that stays within easy jumping distance of water; of United States southwest and northern Mexico,species of amphibian,1
a blood disorder consisting of a decrease in the volume of circulating blood,journal article from 'The British Journal of Surgery' published in 1980,0
French or Italian bread sliced and spread with garlic butter then crisped in the oven,"type of garlic bread, originating from New York City, made from pizza dough scraps",0
a device invented by Edison that gave an impression of movement as an endless loop of film moved continuously over a light source with a rapid shutter; precursor of the modern motion picture,Wikimedia category,0
type genus of the Annonaceae; tropical American trees or shrubs,"species of plant, Cherimoya",0
a chronic skin disease characterized by dry red patches covered with scales; occurs especially on the scalp and ears and genitalia and the skin over bony prominences,article,0
large fast-growing Chinese monoecious tree having flat bright-green deciduous leaves and small globular cones; commonly cultivated in United States as an ornamental; known as a fossil before being discovered in China,species of plant,1
the capital and chief port and largest city of Liberia,architectural structure,0
widely distributed North American sedge having rigid olive green stems,species of plant,1
a faint constellation twisting around the north celestial pole and lying between Ursa Major and Cepheus,species of arachnid,0
of or relating to the parasympathetic nervous system,"The process whose specific outcome is the progression of the postganglionic portion of the parasympathetic fiber over time, from its formation to the mature structure. The parasympathetic fiber is one of the two divisions of the vertebrate autonomic",0
a variety of basket star,species of echinoderm,1
a Dravidian language (closely related to Tamil) that is spoken in southwestern India,Indian film industry based in Kochi,0
a first draft of a prospectus; must be clearly marked to indicate that parts may be changed in the final prospectus,magazine,0
an edible fungus with a reddish cap and close pale gills and dry stalk; found under hardwoods,species of fungus,1
any of various moths that have powdery wings,"academic, nursing researcher",0
a large order of insects having a single pair of wings and sucking or piercing mouths; includes true flies and mosquitoes and gnats and crane flies,scientific study of flies (Diptera),0
the season when new plays are produced,theatrical season,1
a medicine applied locally to produce superficial inflammation in order to reduce deeper inflammation,Substance which creates inflammation,1
in a gingerly manner,species of plant,1
an agaric with greyish white fruiting body and gills that change from pink to dingy red,species of fungus,1
unfermented cider,non-alcoholic apple beverage,1
the larger of the two satellites of Mars,album,0
a semiliquid mass of partially digested food that passes from the stomach through the pyloric sphincter into the duodenum,"metallic tube, or stent, used in order to hold open a structure in the gastrointestinal tract in order to allow the passage of food, chyme, stool, or other secretions required for digestion",0
a blond whose hair is a pale silvery (often artificially colored) blond,American film actress,0
South African cycad; the farinaceous pith of the fruit used as food,species of plant,1
a highly figured fabric woven on a Jacquard loom,"form of textile art, traditionally woven on a vertical loom",0
Australian palm with leaf buds that are edible when young,"island in Mid-Coast, New South Wales, Australia",0
either of two posts that bound a gate,"Barnard Castle, County Durham, DL12",0
having or involving a trajectory of less than one orbit,district,0
vulgar and offensive nakedness in a public place,American public nudity activist,0
a city in southern Turkey on the Seyhan River,association football club,0
hardy British hound having long pendulous ears and a thick coarse shaggy coat with an oily undercoat; bred for hunting otters,Wikimedia category,0
someone who collects taxes for the government,revenue service of the United States federal government,0
a doctrine that rejects religion and religious considerations,control of political and social institutions by secular elements,0
the study of a language without reference to its historical context,study of a language at one particular epoch of its development; as opposed to diachronic study,1
(psychoanalysis) anxiety resulting from real or imagined threats to your sexual functions; originally applied only to men but can in principle apply to women,fear of emasculation in both the literal and metaphorical sense,1
an armchair with an adjustable back,drawing in the National Gallery of Art (NGA 16655),0
owing feudal allegiance to or being subject to a sovereign,antique monarchical feudatory reign,0
any effect that seems to be a consequence of administering a placebo; the change is usually beneficial and is assumed result from the person's faith in the treatment or preconceptions about what the experimental drug was supposed to do; pharmacologists were the first to talk about placebo effects but now the idea has been generalized to many situations having nothing to do with drugs,book by Gary Russell,0
without payment,obtainable without payment,1
Hindu mother goddess; supreme power in the universe; wife or embodiment of the female energy of Siva having both beneficent and malevolent forms or aspects,Odia film and theater actress.,0
a magnoliid dicot genus of the family Calycanthaceae including: allspice,species of plant,0
whitefish of the western United States and Canada,species of fish,1
stiff bushy evergreen shrub of western North America having sour black berries and glossy green foliage used in floral arrangements,Wikimedia category,0
fungus causing pink disease in citrus and coffee and rubber trees etc,species of fungus,1
anesthetize with cocaine,drug dependence that is a psychological dependency on the regular use of cocaine,1
a portable drill with a plate that is pressed against the chest to force the drill point into the work,tool for boring holes,1
a Bantu language,"river in Lofa County, Liberia",0
large hardy brown breed of dairy cattle from Switzerland,cattle breed,1
an African grass economically important as a cereal grass (yielding white flour of good quality) as well as for forage and hay,family name,0
"form or arrange in order or formation, as of a body of soldiers","string or cord used to draw up or gather a length of material, or close an opening",1
a rarefied flow of gas and charged particles (plasma) that stream from the sun and form the solar wind,Doctoral dissertation of John C. Brandt,1
a main that distributes electricity,"rail station on the Metra Electric main branch in Riverdale, Illinois",1
boa of grasslands and woodlands of western North America; looks and feels like rubber with tail and head of similar shape,species of reptile,1
Brazilian palm of genus Euterpe whose leaf buds are eaten like cabbage when young,painting by Dawidi,0
of something done as a final recourse (especially to prevent a crisis or disaster),military campaign during World War I,0
move in one direction and then into the opposite direction,"chess tactic in which a combination of discovered checks and regular checks, usually by a rook and a bishop, often forcing the opposing king to move back and forth between two squares, can win massive amounts of material",1
stout stick that is larger at one end,Australian rules football club,0
a unit of measurement for printing,printing technique where an inked image is transferred from plate to printing surface via a rubber blanket,1
game equipment consisting of one of several small six-pointed metal pieces that are picked up while bouncing a ball in the game of jacks,cyclist,0
a genus of Malayan tree,mountain in Angola,0
the Athapaskan language spoken by the Mattole,river in the United States of America,0
a rich cake with two or more tiers and covered with frosting and decorations; served at a wedding reception,cake for a wedding,1
folder that holds papers together in a filing cabinet,Wikimedia category,0
pale pink wild orchid of northeastern America having an inflated pouchlike lip,Wikimedia category,0
the level of safety from exposure to infectious agents; depends on work practices and safety equipment and facilities,Wikimedia category,0
queen of the Olympian gods in ancient Greek mythology; sister and wife of Zeus remembered for her jealously of the many mortal women Zeus fell in love with; identified with Roman Juno,fictional planet from the Serenityverse,0
(from 16th to 19th centuries) gates set across a road to prevent passage until a toll had been paid,highway in New Jersey,0
teaching strategy to an athletic team,album by Oliver Nelson,1
syndrome resulting from a serious acute (sometimes fatal) infection associated with the presence of staphylococcus; characterized by fever and diarrhea and nausea and diffuse erythema and shock; occurs especially in menstruating women using highly absorbent tampons,German rock jam band,0
the eighth month of the Islamic calendar,Syrian politician,0
a specialist assigned to the staff of a diplomatic mission,whipping-post,0
a geological phenomenon below the surface of the earth,"that originate from within an organism, tissue, or cell",1
the region inside the heliopause containing the sun and solar system,book,0
a family of Pinaceae,family of plants,1
the wage demanded from management for workers by their union representatives,article published by Congressional-Executive Commission on China,1
fourth Thursday in November in the United States; second Monday in October in Canada; commemorates a feast held in 1621 by the Pilgrims and the Wampanoag,holiday celebrated in the United States on the fourth Thursday in November,1
a port in southern Sweden,"municipality in Skåne County, Sweden",0
an order of monocotyledonous herbs,order of plants,1
a tripod used to support a camera,"provides for the stable formation of cameras, lights, microphones, laboratory instruments or measuring instruments",1
(Christianity) the taking up of the body and soul of the Virgin Mary when her earthly life had ended,article,0
primitive winged insect with a flattened body; used as bait by fishermen; aquatic gilled larvae are carnivorous and live beneath stones,"LaFayette, Ind.,1925. | MBLWHOI Library View Book",0
cut of beef suitable for simmering in liquid in a closed pot,type of roasted beef dish,1
Hindu mother goddess; supreme power in the universe; wife or embodiment of the female energy of Siva having both beneficent and malevolent forms or aspects,female given name,0
any of various plants of the family Haemodoraceae; roots contain a deep red coloring matter,family of plants,1
a federation in northeastern Europe and northern Asia; formerly Soviet Russia; since 1991 an independent state,university,0
pastry made with a cream cheese dough and different fillings (as raisins and walnuts and cinnamon or chocolate and walnut and apricot preserves),Jewish pastry from Poland,1
a genus of slender herbs belonging to the family Euphorbiaceae,species of plant,0
a small spoon used for stirring tea or coffee; holds about one fluid dram,mountain in United States of America,0
a principle stating the action required to attain a desired goal,Kantian philosophical concept; antonym of categorical imperative,1
a Ukrainian peninsula between the Black Sea and the Sea of Azov,species of virus,0
a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets,municipality of Angola,0
Greek sculptor (4th century BC),crater on Mercury,0
the study of Chinese history and language and culture,Australian sinologist,0
a large sailing ship,type of large sailing ship,1
the right granted by a court to a parent (or other relative) who is deprived of custody of a child to visit the child on a regular basis,child visitation right,1
present for the first time to the public,album of audio recordings made up of tracks recorded in a recording studio,0
a sharp table knife used in eating steak,German punk rock band,0
semi-tuberous begonia having peltate leaves and rose-pink flowers; Yemen,species of plant,1
any of various moths that have powdery wings,moth,1
of a region of the United States generally including Washington; Oregon; Idaho; and sometimes Montana; Wyoming,music school at Northwestern University,0
closure imposed on the debate of specific sections of a bill,article,0
milkweed of southwestern United States and Mexico; poisonous to livestock,species of plant,1
a line of argument rationalizing the course of action of a government,journal,1
the official temporarily in charge of a diplomatic mission in the absence of the ambassador,"British diplomat (1806-1886). Charge d’Affaires, Haiti 1859-1861",0
crank used to start an engine,simple machine,1
the transparent covering of an aircraft cockpit,aboveground portion of a plant community or crop,1
a coupler shaped like the letter U with holes through each end so a bolt or pin can pass through the holes to complete the coupling; used to attach a drawbar to a plow or wagon or trailer etc.,Cameroonian association football player,0
(computer science) a pointer that when pointed at a computer display senses whether or not the spot is illuminated,computer input device,1
a group of volcanic islands in the south central Pacific; part of French Polynesia,"avenue in Nantes, France",0
epilepsy characterized clinically by impairment of consciousness and amnesia for the episode; often involves purposeful movements of the arms and legs and sometimes hallucinations,Human disease,1
pitcher plant of southeastern United States having erect yellow trumpet-shaped pitchers with wide mouths and erect lids,species of plant,1
an order in the subclass Telosporidia,subclass of protists,1
genus of Eurasian perennial tuberous or rhizomatous herbs: leopard's bane,subspecies of plant,0
a leaf from a fig tree,heraldic figure,0
a historical area and former kingdom in the Czech Republic,university,0
United States labor leader (born in England) who was president of the American Federation of Labor from 1886 to 1924 (1850-1924),family name,0
tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times,"Washington,1898. | University of California Libraries (archive.org) View Book",0
a former inlet of the North Sea in the northern coast of the Netherlands; sealed off from the sea in 1932 by a dam that created the IJsselmeer,painting by Jan van Goyen,0
those in charge of running a business,journal,1
a genus of fungi belonging to the family Clathraceae,genus of fungi,1
the basic unit of money in Lithuania,album by Lita Ford,0
Temperate Zone between the Arctic Circle and the Tropic of Cancer,hovers around the same temperature,1
a republic in northwestern Africa on the Mediterranean coast; achieved independence from France in 1956,Tunisian political party,0
the largest moon of Neptune,largest moon of Neptune,1
a cap with a flat circular top and a visor,flat circular cap with a visor,1
a musician who plays the oboe,Canadian composer and musician,0
