text1,text2,is_same
grass often cultivated for its long white-ribbed leaves and large plumes resembling those of pampas grass,species of plant,0
a radioactive isotope of carbon,article,0
requiring evidence for validation or support,"name with the same spelling as another name, but published later (may not be used)",0
a member of the ninja who were trained in martial arts and hired for espionage or sabotage or assassinations; a person skilled in ninjutsu,fictional universe,0
"of coal, as contrasted with coal obtained from a strip mine",book,0
antifungal agent consisting of a solution of copper sulphate and quicklime,"St. Louis, Mo. :B.G. Pratt Company,[1910] | U.S. Department of Agriculture, National Agricultural Library",1
of or relating to thermometry,article,0
timepiece in which the passage of time is indicated by the flow of sand from one transparent container to another through a narrow passage,article,0
United States railroad tycoon (1838-1916),British racing driver,0
treat inconsiderately or harshly,1916 film by Hal Roach,1
a sculpture of the head and shoulders of a person,band,0
nuclear reactor in which nuclear fissions are caused by fast neutrons because little or no moderator is used,nuclear reactor in which the fission chain reaction is sustained by fast neutrons,1
the branch of astronomy that deals with the measurement of the position and motion of celestial bodies,doctoral thesis,0
the most favorable position at the start of a race,1993 video game,0
stiff bushy evergreen shrub of western North America having sour black berries and glossy green foliage used in floral arrangements,species of plant,1
the 19th letter of the Roman alphabet,letter of the Latin alphabet,1
the fleshy area of the palm at the base of the thumb,article,1
a town in Upper Egypt,town in Egypt,1
"secure against future loss, damage, or liability; give security for",Expenses that are made to compensate for disadvantages suffered or restrictions,1
black or white seeds ground to make mustard pastes or powders,small round seeds of various mustard plants,1
a large body of water constituting a principal part of the hydrosphere,scientific journal,0
Asiatic fern introduced in America,species of plant,1
relating to bodily unease that causes discomfort,emotion characterized by an unpleasant state of inner turmoil,1
operating or moving or allowing movement in one direction only,The process of unidirectional (polarized) transfer of genetic information involving direct cellular contact between a donor and recipient cell; the contact is followed by the formation of a cellular bridge that physically connects the cells; some or,1
a provocative Spanish courtship dance in triple time; performed by a man and a woman playing castanets,musical form and a music genre typical of Spain and parts of Latin America,1
a thin straight surgical knife used in dissection and surgery,journal,0
grasshoppers with long threadlike antennae and well-developed stridulating organs on the forewings of the male,suborder of insects,1
(Roman Catholic Church) a vessel (usually of gold or silver) in which the consecrated Host is exposed for adoration,vessel used to display religious object in the Christian tradition,1
a commercial mix for making a cake,1987 song by Rick Astley,1
hot and dry enough to burn or parch a surface,forced evacuation and scorching of Finnmark and North Troms,1
used in some classification systems for some genera of the family Polypodiaceae (or Pteridaceae),Wikimedia template,0
fast-growing and tightly branched hybrid of Ligustrum ovalifolium and Ligustrum obtusifolium,species of plant,1
a knot for tying a line to a spar or ring,"suburb of Melbourne, Victoria, Australia",1
poisonous shrub of southeastern United States causing a rash on contact,species of plant,1
a telephonic intercommunication system linking different rooms in a building or ship etc,"communications system; a stand-alone voice communications system for use within a building or small collection of buildings, functioning independently of the public telephone network",1
the quality of having an inferior or less favorable position,article,1
the brightest star in Canis Minor,species of mammal,0
the basic unit of money in Grenada,currency formerly used in the British colony of Grenada,1
Greek wine flavored with resin,a resinated wine from Greece,1
a soft (or liquid) soap made from vegetable oils; used in certain skin diseases,"sodium salt of fatty acids ( long chain carboxylic acids ), used for washing and cleaning",1
a national park in California that includes Mount Whitney,tree in Sequoia National Park,0
an athlete who plays tennis,sportsperson who plays tennis,1
use the file transfer protocol to transfer data from one computer to another,"Résistance groups in France during WWII, linked to Communist Party",0
loose and unstratified,glacially formed accumulation of unconsolidated glacial debris,1
putting something into a form suitable for a printer,Wikimedia category,0
the flat part of a tool or weapon that (usually) has a cutting edge,sharp cutting part of a weapon or tool,1
with ice cream on top or on the side,pie served with ice cream or cream,1
the act of separating grain from chaff,publishing platform and journal,0
groups that seek to control a social system or activity from which they derive private benefit,article,0
evidence (usually the testimony of a witness) directly related to the fact in dispute,scientific journal article,1
an impure form of copper having a black blistered surface,patent,0
of windows; divided by vertical bars or piers usually of stone,"Harpenden Rural, St. Albans, Hertfordshire, AL5",1
a parka to be worn while skiing,painting by Peter Doig,0
the trees and other plants in a large densely wooded area,dense collection of trees covering a relatively large area,1
what an organism looks like as a consequence of the interaction of its genotype and the environment,genetic locus that correlates with a specific phenotype,1
a region including the bottom of the sea and the littoral zones,journal,1
sand roughly,species of amphibian,1
a schedule of wages paid for different jobs,a series in the National Archives and Records Administration's holdings,1
a mineral consisting of cuprous oxide that is a source of copper,mountain range,0
large genus of chiefly African liliaceous plants; in some systems placed in family Aloeaceae,species of the genus Aloe,1
a decongestant that provides temporary relief of nasal symptoms of the common cold and rhinitis and upper respiratory infections,"drugs designed to treat inflammation of the nasal passages, generally the result of an infection (more often than not the common cold) or an allergy related condition, e.g., hay fever",1
reddish long-tailed monkey of west Africa,species of crustacean,0
avoiding or escaping from difficulty or danger especially enemy fire,type of security operative or government agent who protects a person or persons,1
covered with cobwebs,species of plant,1
the economic condition in which credit is difficult to secure and interest rates are high,1985 single by Simply Red,1
free from mist,Pokémon move,1
flux applied to surfaces that are to be joined by soldering; flux cleans the surfaces and results in a better bond,metal alloy used to join together metal pieces with higher melting points,1
tropical southeast Asian tree with aromatic bark; yields a bark used medicinally,"species of plant, Saigon Cinnamon",1
pertaining to respiration,scientific journal,1
(Roman Catholic Church) someone who proposes or pleads for a candidate for beatification or canonization,person who guides a cause for beatification or canonization through the judicial processes required by the Roman Catholic Church,1
United States explorer who led three expeditions to the Arctic (1821-1871),bacterial strain,0
a fairly high narrow heel on women's shoes,1922 silent film romantic comedy,1
a monetary standard under which the basic unit of currency is defined by a stated quantity of gold,article,0
a national park in Kentucky having a large cavern and an underground river,Wikimedia category,0
an automotive power coupling,Drive or transmission system that uses pressurized hydraulic fluid to power hydraulic machinery,1
the official announcement of a new law or ordinance whereby the law or ordinance is put into effect,official promulgation journal of the Kingdom of Württemberg,0
a fresh horse especially (formerly) to replace one killed or injured in battle,body responsible for the purchase and training of horses and mules for the British Army between 1887 and 1942,1
a belt that carries motion from a motor to the machinery,loop of flexible material used to mechanically link rotating shafts,1
pantropical herb having whorls of striking lipped flowers; naturalized in United States,Wikimedia category,0
act so as to bring into existence,undesired harmful effect resulting from a medication or other medical intervention,1
an artistic device or effect,belief that one can or will voluntarily quit taking risks,1
rations issued for United States troops in the field,meal supplied by the US military,0
not deliberate,outcomes that are not the ones intended by a purposeful action,1
the act of distributing something to designated places or persons,construction and assignment of houses or buildings for sheltering people,0
tree of South and Central America yielding an aromatic balsam,species of plant,1
a genus of reptiles of the division Cynodontia,genus of mammals (fossil),1
the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself,article,0
a glove with long sleeve,glove having a deep cuff to cover all or part of the forearm,1
"centered on a specific ethnic group, usually one's own",article,0
a person who meddles in the affairs of others,book by Johanna Hurwitz,0
valve with two cusps; situated between the left atrium and the left ventricle,scientific journal article,0
of brown tinged with green,painting by Georges Vantongerloo,1
a young female horse under the age of four,young female horse,1
a violent terrorist group organized in the 1980s and advocating the overthrow of the Chilean military government; leaders are mainly criminals or impoverished youths,Organización guerrillera de izquierda revolucionaria de Chile durante las décadas de 1980 y 1990; facción escindida y rupturista del Movimiento de Acción Popular Unitaria en 1982.,1
"a free, widely-used Web Map Server",Wikimedia template,0
a fungus with a sticky lavender cap and stalk that whitish above and covered with a silky lavender sheath,species of fungus,1
"make a preliminary introduction, usually to a formal document",introductory statement in a document that explains its purpose and underlying philosophy,1
extreme distress of body or mind,cricketer,0
an uncontrolled fire in a grassy area,painting by Sidney Nolan,0
the lines a baseball player must follow while running the bases,scientific journal article,1
(computer science) a portable pack of magnetic disks used in a disk storage device,interchangeable computer storage part that is read or written using a disk drive,1
a unit used in estimating fuel requirements for heating a building,heuristic tool in phenology,1
a relational difference between states; especially between states before and after some event,Change in the statistical distribution of weather patterns for an extended period,1
a red or yellow or brown mineral; an oxide of iron that is a common constituent of rust,article,1
make secular and draw away from a religious orientation,transformation of a society from close identification with religious values and institutions toward nonreligious values,1
a woodworker who joins pieces of wood with a splice,the joining of two optical fibers end-to-end,1
an animal (such as a mule or burro or horse) used to carry loads,horse used to carry goods,1
a room set aside for viewing television,Thai TV series,0
of or relating to hypnosis,"US record label; imprint of Cleopatra Records, Inc.",0
condition in which both eyes are abnormally small but otherwise normal,eye disease where one or both eyeballs are abnormally small,1
chokecherry of western United States,species of plant,1
aquatic beetle that circles rapidly on the water surface,family of water beetles,1
flux applied to surfaces that are to be joined by soldering; flux cleans the surfaces and results in a better bond,type of chemicals used in metallurgy,0
semi-tuberous begonia having peltate leaves and rose-pink flowers; Yemen,species of plant,1
of plants that are partly erect,physiological phenomenon,0
either one of the two posterior openings at the back of the nasal cavity leading to the nasopharynx,"n.p.,1897? | Cornell University Library View Book",1
the seed of flax used as a source of oil,"yellowish oil obtained from the dried, ripened seeds of the flax plant",1
a grocer who sells fresh fruits and vegetables,"Mayfield and Five Ashes, Wealden, East Sussex, TN20",0
wild mountain sheep of Corsica and Sardinia,species of sheep native to North America,1
a lens implant containing a hinge that allows for both near and far vision (thus mimicking the natural lens of a young person),clinical trial,1
"spot, splash, or soil",article,1
a chronic bacterial infection of the endocardium and heart valves; symptoms develop slowly,Human disease,0
sympathy of each person for the other,relationship between people who have mutual affection for each other,1
a monoamine oxidase inhibitor (trade name Marplan) that is used to treat clinical depression,chemical compound,0
re-equip a factory or plant,history of the C-17 Globemaster III transport aircraft used by Australia,1
an edible and choice fungus; has a convex cap that is slightly viscid when fresh and moist but soon dries and a thick bulbous tan stalk,article,0
a day designated for planting trees,holiday in which individuals and groups are encouraged to plant and care for trees,1
the battle that ended the Wars of the Roses (1485); Richard III was killed and Henry Tudor was crowned as Henry VII,last significant battle of the Wars of the Roses,1
Armenian composer who incorporated oriental folk music (1903-1978),Soviet composer and conductor,1
a slight convexity in the shaft of a column; compensates for the illusion of concavity that viewers experience when the sides are perfectly straight,album by Kostas Martakis,1
presumptuously seeking success or a position in a new locality,Northerner who moved to the South after the American Civil War,0
wife of Franklin Roosevelt and a strong advocate of human rights (1884-1962),Socialite and Mother of President Theodore Roosevelt,1
a global cluster in the constellation Centaurus,doctoral thesis,0
stupefied by alcoholic drink,musical character in the musical Starstruck; a befuddled psychic nun.,1
the minute pressure exerted on a surface normal to the direction of propagation of a wave,article,0
a number you choose and use to gain access to various accounts,researcher,0
change or cause to change directly from a solid into a vapor without first melting,"album by Brad Mehldau, Renée Fleming",0
a fan that blows heated air out of the attic of a building,fan used to keep an attic ventilated,1
the act of plagiarizing; taking someone's words or ideas as if they were your own,using another author's work as if it was one's own original work,1
large searobin; found from Nova Scotia to Florida,species of fish,1
a sitting position with the legs crossed; used in yoga,cross-legged sitting asana,1
advanced carnivorous theropod,clade of reptiles (fossil),1
a storage site (such as a small reservoir) that delays the flow of water downstream,detention basin,1
support paid by one half of an unmarried partnership after the relationship ends,article,1
spongy rubber; made by introducing air bubbles before vulcanization and used for cushioning or upholstery,polymer composed of a chain of organic units joined by carbamate (urethane) links,1
a single pleat turned in one direction,deliberate fold in the design of a textile object or garment,1
a dish made by folding a piece of pastry over a filling,The continual breakdown and regeneration of peptidoglycan required to maintain the cell wall.,1
(computer science) a file that you can read but cannot change,Wikimedia category,0
a composer of symphonies,extended musical composition,0
a gun that is set to fire on any intruder that comes in contact with the wire that sets it off,"spring in Beaver County, United States of America",0
a drug of abuse that is considered relatively mild and not likely to cause addiction,strategy for the design of safer pharmaceutical drugs,0
a Crusade from 1228 to 1229 led by the Holy Roman Emperor Frederick II who fell ill and was excommunicated by the Pope; by negotiation Frederick II was able to crown himself king of Jerusalem,Wikimedia category,1
to become aware of through the senses,album by Owen,0
a religious movement originating among the French Roman Catholic clergy that favored the restriction of papal control and the achievement by each nation of individual administrative autonomy of the church,the belief that popular civil authority—often represented by the monarchs' authority or the state's authority—over the Catholic Church is comparable to that of the Pope's,1
surgical interruption of a nerve pathway in the sympathetic nervous system,procedure during which at least one sympathetic ganglion is removed.,1
a pyrometer consisting of a series of cones that melt at different temperatures,pyromatic device,1
a computer capable of performing a large number of mathematical operations per second,episode of Person of Interest (S1 E10),0
a baba soaked in rum,cake saturated in rum,1
the 14th letter of the Roman alphabet,letter of the Latin Alphabet,1
a spider that spins a circular (or near circular) web,family of araneomorph spiders,1
reduce the speed of,Rate at which the magnitude and/or direction of velocity changes with time,1
a card recording an employee's starting and quitting times each work day,clinical trial,1
relating to or having the nature of information,"informational, formal, and detailed text",1
a dodecahedron with twelve regular pentagons as faces,Platonic solid,0
a constant in the equation of a curve that can be varied to yield a family of similar curves,article,0
the action of forming a chelate or other stable compound with an ion or atom or molecule so that it is no longer available for reactions,"The accumulation and maintenance in cells or tissues of lipids, compounds soluble in organic solvents but insoluble or sparingly soluble in aqueous solvents. Lipid reserves can be accumulated during early developmental stages for mobilization and uti",1
highly seasoned fatty sausage of pork and beef usually dried,researcher,0
having overlapping hull planks,method of boat building,1
"a report of a discourse in which deictic terms are modified appropriately (e.g., )",style of third-person narration which uses some of the characteristics of third-person along with the essence of first-person direct speech,1
of or relating to myrmecophytes,article,1
being a person,article,0
the reproductive cloning of a sentient human being; generally considered ethically unacceptable,article,1
a guiding principle,album by Soko,0
cover with clapboards,"valley in San Luis Obispo County, United States of America",0
a volatile liquid haloform (CHCl3); formerly used as an anesthetic,chemical compound,1
a disease caused by nematodes in the blood or tissues of the body causing blockage of lymphatic vessels,parasitic disease caused by a family of nematode worms,1
the quality of causing destruction,great and destructive fire,1
"move without being stable, as if threatening to fall","long, narrow board pivoted in the middle",1
light radioactive isotope of iodine with a half-life of 60 days; used as a tracer in thyroid studies and as a treatment for hyperthyroidism,article,0
violet of eastern North America having pale violet to white flowers,species of plant,1
the branch of geography concerned with the production and distribution of commodities,"study of the location, distribution and spatial organization of economic activities",1
the derivation of a general name from that of a famous person,"Swiss botanist, explorer and mathematician",1
a residential area outside of a city and beyond suburbia,small community situated beyond the suburbs of a city,1
a person who diverts suspicion from someone (especially a woman who accompanies a male homosexual in order to conceal his homosexuality),"set of annual awards presented for excellence in cuisine, culinary writing, and culinary education in the United States",1
the land mass formed by the continents of Europe and Asia,continental landmass comprising Europe and Asia,1
put (a liquid) into a container or another place by means of a squirting action,1983 video game,1
the fallacy of attributing human feelings to inanimate objects; `the friendly sun' is an example of the pathetic fallacy,Literary Device,1
an aircraft designed in accordance with technology that makes detection by radar difficult,Wikimedia category,0
a pink or red mineral consisting of crystalline manganese silicate; used as an ornamental stone,triclinic inosilicates,0
someone who loves (and usually collects) books,love of books,0
Eurasian herb with solitary nodding fragrant white flowers,Wikimedia category,0
a nobleman (in various countries) of high rank,noble or royal title in some European countries and their colonies,1
a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos,Dutch progressive rock band,0
the trait of being painstaking and careful,personality trait of being orderly and following the rules,1
a trail that extends from Missouri to New Mexico; an important route for settlers moving west in the 19th century,1912 film by Frank Montgomery,0
ground cherries,species of plant with bright red or orange papery covering,1
someone skilled in planning marketing campaigns,financial analyst and stock market strategist,1
a terrorist group formed in India in 1992; is believed to be responsible for bombings in southern India in 1998,primary school,1
an abridged dictionary of a size convenient to hold in the hand,any of the line of dictionaries first developed by Noah Webster in the early 19th century or other dictionaries that use his name,1
recognize or perceive the difference,article,0
a nonsteroidal anti-inflammatory and analgesic drug (trade name Ponstel) used to treat mild pain (especially menstrual cramps),chemical compound,1
a malignant neoplasm of nerve tissue and fibrous tissue and connective tissue,Human disease,1
the quantity that a dustpan will hold,1912 silent short film,0
a social and political problem caused by conflict between races occupying the same or adjacent regions,article,1
one of a pair of cavities in the frontal bone,sinusitis which involves infection of the frontal sinuses over the eyes in the brow area. This causes pain or pressure in the frontal sinus cavity and headache over the forehead,0
become steeper,article,1
a one-piece tight-fitting undergarment for women that covers the torso (and may have sleeves and legs),"one-piece, skin-tight garment made of knitted or stretch material, usually covering the feet, legs, and torso, and sometimes arms; worn under other clothing (AAT)",1
injured by freezing or partial freezing,almost bloodless boundary dispute between the U.S. state of Ohio and the adjoining territory of Michigan,0
insectivorous arboreal mammal of southeast Asia that resembles a squirrel with large eyes and long sharp snout,species of mammal,1
the law that if two bodies are in thermal equilibrium with a third body then the first two bodies are in thermal equilibrium with each other,"principle stating if two systems are in thermal equilibrium with another, they are with each other",1
a large plateau to the south and west of the Rocky Mountains; abuts mountains on the north and east and ends in an escarpment overlooking lowlands to the south and west; the Grand Canyon is carved out of the southwestern corner,article,0
a symbiotic relation in which one organism protects the other in return for some kind of food product,article,1
(psychophysics) the concept that a just-noticeable difference in a stimulus is proportional to the magnitude of the original stimulus,related laws in the field of psychophysics,1
the construction of ships,construction of ships and floating vessels,1
with finality; conclusively,series of military battles fought between the Chinese Han dynasty and the Xiongnu confederated state from 133 BC to 89 AD,0
in an effusive manner,article,0
pneumonia caused by bacteria of the genus pneumococcus,article,0
journalism that presents a story primarily through the use of pictures,particular form of journalism that creates images in order to tell a news story,1
(archaic) roundabout or mysterious ways of action,species of mollusc,0
an athlete who plays for pay on a part-time basis,American politician and semiprofessional baseball player,1
a table used for playing table tennis,racket sport,0
taking place or located away from the site,article,1
maintain the same pace,when an economy's productive capacity is unable to keep pace with growing aggregate demand,1
medium-sized stout-bodied neutral-colored moths with comb-like antennae,Wikimedia category,0
work made of leather,practice of making leather into craft objects or works of art,1
the act of making someone poor,state of one who lacks a certain amount of material possessions or money,1
flat stitches worked so closely as to resemble satin,flat embroidery stitch,1
a thick short powerful neck,"human settlement in Virginia, United States of America",0
a young woman making her debut into society,album by Cait Brennan,0
(computer science) a unit for measuring the speed of a computer system,measure of computer performance,1
an open horse-drawn carriage with four wheels; formerly used in Poland and Russia,term used for several types of carriage,1
the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation,organized body of people walking in a formal or ceremonial manner,1
a constellation in the northern hemisphere near Cygnus and Sagitta,subspecies of bird,0
grant in a condescending manner,Liturgical Christian hymn,1
a black bow tie worn with a dinner jacket,semi-formal evening suit consisting of a dinner jacket and trousers,1
support or promote,food for various animals,0
tending to exploit or make use of,"software, data or commands that use a bug or vulnerability to compromise a computer system",1
extinct tiny nocturnal lower primates that fed on fruit and insects; abundant in North America and Europe 30 to 50 million years ago; probably gave rise to the tarsiers; some authorities consider them ancestral to anthropoids but others consider them only cousins,article,0
measurement of the pH level and the oxygen and carbon dioxide concentrations in arterial blood; important in diagnosis of many respiratory diseases,a test of blood taken from an artery that measures the amounts of certain dissolved gases,1
memory for experiences that are past,painting by Thomas Eakins,0
a person who dislikes or avoids new technology,2015 film by Théodore Bonnet,1
(of an arrow) not equipped with feathers,"Washington,Govt. Print. Office,1877. | Multiple institutions View Book",1
attendance for a particular event or purpose (as to vote in an election),percentage of eligible voters who cast a ballot in an election,1
a natural father or mother,Biological father or mother,1
the cortex of the adrenal gland; secretes corticosterone and sex hormones,The process that gives rise to the adrenal cortex. This process pertains to the initial formation of a structure from unspecified parts. The adrenogonadal primordium from which the adrenal cortex is formed derives from a condensation of coelomic epit,0
affect in a contagious way,journal,0
capable of being scaled; possible to scale,article,0
fortification consisting of a strong fence made of stakes driven into the ground,defensive structure; typically a fence or wall made from wooden stakes,1
the amount that the insurance company will pay on a given life insurance policy if the policy is cancelled prior to the death of the insured,"A viatical settlement is the sale of a policy owner's existing life insurance policy to a third party for more than its cash surrender value, but less than its net death benefit.",1
injury caused the explosion of a bomb (especially in enclosed spaces),wound caused by an explosive blast,1
an intense and irresistible love for yourself and concern for your own needs,obsessive preoccupation with one's self,1
a very small spaniel,dog breed,1
abandoning without shelter or protection (as by leaving as infant out in the open),consequences of exposing the fetus in utero to certain factors,1
extra pay awarded to an employee on the basis of merit (especially to school teachers),Congressional Research Service report,1
a lamellar mixture of cementite and ferrite formed during the cooling of austenite; a constituent of steel and cast iron,lamellar structure of ferrite and cementite,1
shooting game birds that are flying (on the wing),"London, Ont.,T.G. Davey,1881. | Smithsonian Libraries View Book",1
a short-haired breed with body similar to the Siamese cat but having a solid dark brown or grey coat,cat breed,1
a platform from which criminals are executed (hanged or beheaded),InterPro Domain,1
small family of usually tropical butterflies: monarch butterflies,family of insects,1
former name of the Characidae,"Rio [de Janeiro] :L. Macedo,1920. | University Library, University of Illinois Urbana Champaign View Book",0
active over a long period of time,article,1
United States ballet dancer (born in Russia) (1917-1977),American ballet dancer,1
a disease of cattle and sheep that is attributed to toxins absorbed from the intestines,human disease,0
flattened disklike sea urchins that live on sandy bottoms,order of irregular sea urchins,1
lamp consisting of a tube coated on the inside with a fluorescent material; mercury vapor in the tube emits ultraviolet radiation that is converted to visible radiation by the fluorescent material,Type of electrode and part of cold cathode fluorescent lamp.,1
not distinguished on the basis of sex,unisex given name,0
a hole (usually in wood) with the top part enlarged so that a screw or bolt will fit into it and lie below the surface,drawing in the National Gallery of Art (NGA 21099),0
a lack of physical flexibility,article,0
a disappointing decline after a previous rise,species of mollusc (fossil),0
body armor that protects the elbow,armor component for the elbow,1
eat sumptuously,attempting to influence decisions of government officials,1
the table in Christian churches where communion is given,barrier or low rails in front of the altar of a church,0
a ticket good for several trips or to attend a season of entertainments; sold at a reduced rate,book by Roger Angell,0
a formal or official examination,record group in the National Archives and Records Administration's holdings,0
accumulate and create a backlog,log of work accumulation in a certain interval of time,1
of or relating to a systole or happening during a systole,article,1
a disease of plants characterized by the gradual dying of the young shoots starting at the tips and progressing to the larger branches,article,1
a baseball player on the team at bat who is on base (or attempting to reach a base),band that plays indie rock,0
caused by law or conscience to follow a certain course,"course of action that someone is required to take, whether legal or moral",1
cup awarded for the annual international team tennis competition,2017 edition of the Davis Cup,0
having a chainlike form,article,1
producing spores or reproducing by means of spores,production of spores in biology,1
slow down by moving the tail sideways,unincorporated community in Montana,0
a shortened form of a word or phrase,position,0
of or relating to plants that are hemiparasites,article,1
a progressive disease of the central nervous system marked by increasing lack of coordination and advancing to paralysis and death within a year of the appearance of symptoms; thought to have been transmitted by cannibalistic consumption of diseased brain tissue since the disease virtually disappeared when cannibalism was abandoned,"ecological or environmental area inhabited by a particular species; natural environment in which an organism lives, or the physical environment that surrounds a species population",1
large genus of tropical climbing orchids; Old and New Worlds,genus of plants,1
ctenophore having short tentacles; one family,Wikimedia category,0
infested with moths,album,1
a river in far eastern Siberia that flows generally northward to the Arctic Ocean,river in Russia,1
the branch of biology that studies the cellular aspects of heredity (especially the chromosomes),scientific journal,0
dories,article,1
